#Epoch	RMSE	MAE	MAPE(%)
1	2.2423	1.9767	21.74
2	2.5597	2.3324	25.86
3	2.4495	2.2127	24.48
4	2.4518	2.2166	24.53
5	2.4283	2.1924	24.25
6	2.4008	2.1639	23.93
7	2.3698	2.1320	23.57
8	2.3110	2.0703	22.86
9	2.2514	2.0087	22.16
10	2.1298	1.8805	20.69
11	1.9802	1.7236	18.91
12	1.6806	1.3995	15.21
13	1.3928	1.0852	11.65
14	1.1051	0.7442	7.77
15	0.9846	0.5977	6.12
16	0.9488	0.5571	5.66
17	0.9336	0.5422	5.50
18	0.9227	0.5320	5.39
19	0.9167	0.5291	5.37
20	0.8981	0.5052	5.10
21	0.8905	0.4989	5.03
22	0.8871	0.4992	5.04
23	0.8790	0.4912	4.95
24	0.8742	0.4886	4.93
25	0.8614	0.4724	4.74
26	0.8566	0.4695	4.72
27	0.8521	0.4668	4.69
28	0.8396	0.4507	4.51
29	0.8347	0.4470	4.47
30	0.8305	0.4447	4.45
31	0.8225	0.4357	4.35
32	0.8139	0.4254	4.23
33	0.8093	0.4220	4.19
34	0.8016	0.4131	4.10
35	0.7970	0.4096	4.06
36	0.7898	0.4014	3.97
37	0.7851	0.3975	3.93
38	0.7778	0.3887	3.83
39	0.7735	0.3852	3.79
40	0.7666	0.3769	3.70
41	0.7624	0.3736	3.66
42	0.7553	0.3652	3.57
43	0.7509	0.3615	3.53
44	0.7446	0.3541	3.45
45	0.7404	0.3508	3.41
46	0.7343	0.3439	3.34
47	0.7303	0.3408	3.30
48	0.7246	0.3344	3.23
49	0.7209	0.3319	3.21
50	0.7152	0.3254	3.14
51	0.7114	0.3225	3.10
52	0.7062	0.3171	3.05
53	0.7029	0.3152	3.03
54	0.6971	0.3089	2.96
55	0.6936	0.3064	2.93
56	0.6882	0.3010	2.87
57	0.6856	0.3001	2.86
58	0.6801	0.2947	2.81
59	0.6776	0.2939	2.80
60	0.6728	0.2896	2.75
61	0.6697	0.2878	2.73
62	0.6650	0.2839	2.69
63	0.6622	0.2833	2.69
64	0.6593	0.2829	2.69
65	0.6546	0.2802	2.66
66	0.6516	0.2801	2.66
67	0.6490	0.2806	2.67
68	0.6438	0.2783	2.65
69	0.6406	0.2787	2.66
70	0.6372	0.2795	2.67
71	0.6341	0.2804	2.68
72	0.6285	0.2778	2.66
73	0.6240	0.2777	2.66
74	0.6202	0.2783	2.67
75	0.6152	0.2779	2.67
76	0.6103	0.2779	2.68
77	0.6049	0.2768	2.67
78	0.5964	0.2724	2.63
79	0.5899	0.2707	2.62
80	0.5831	0.2686	2.60
81	0.5761	0.2665	2.58
82	0.5691	0.2636	2.56
83	0.5614	0.2609	2.54
84	0.5522	0.2538	2.46
85	0.5437	0.2504	2.43
86	0.5377	0.2472	2.40
87	0.5300	0.2430	2.36
88	0.5219	0.2368	2.30
89	0.5154	0.2334	2.27
90	0.5103	0.2307	2.24
91	0.5052	0.2281	2.22
92	0.4986	0.2226	2.16
93	0.4939	0.2198	2.13
94	0.4909	0.2181	2.12
95	0.4850	0.2134	2.07
96	0.4825	0.2113	2.05
97	0.4790	0.2099	2.03
98	0.4755	0.2065	2.00
99	0.4723	0.2046	1.98
100	0.4688	0.2010	1.94
101	0.4662	0.1999	1.93
102	0.4651	0.1996	1.93
103	0.4616	0.1957	1.89
104	0.4591	0.1945	1.88
105	0.4572	0.1923	1.85
106	0.4545	0.1907	1.84
107	0.4538	0.1909	1.84
108	0.4510	0.1880	1.81
109	0.4491	0.1870	1.80
110	0.4472	0.1852	1.78
111	0.4451	0.1843	1.78
112	0.4430	0.1823	1.76
113	0.4418	0.1819	1.75
114	0.4397	0.1802	1.73
115	0.4385	0.1798	1.73
116	0.4370	0.1786	1.72
117	0.4359	0.1783	1.72
118	0.4342	0.1771	1.70
119	0.4324	0.1757	1.69
120	0.4316	0.1756	1.69
121	0.4304	0.1749	1.68
122	0.4297	0.1748	1.68
123	0.4287	0.1742	1.68
124	0.4274	0.1734	1.67
125	0.4261	0.1726	1.66
126	0.4260	0.1730	1.67
127	0.4251	0.1727	1.66
128	0.4242	0.1722	1.66
129	0.4234	0.1718	1.66
130	0.4227	0.1716	1.65
131	0.4229	0.1722	1.66
132	0.4227	0.1723	1.66
133	0.4221	0.1722	1.66
134	0.4219	0.1724	1.66
135	0.4217	0.1724	1.67
136	0.4216	0.1726	1.67
137	0.4213	0.1727	1.67
138	0.4214	0.1730	1.67
139	0.4215	0.1733	1.68
140	0.4216	0.1737	1.68
141	0.4222	0.1745	1.69
142	0.4222	0.1746	1.69
143	0.4222	0.1750	1.69
144	0.4229	0.1758	1.70
145	0.4235	0.1765	1.71
146	0.4234	0.1767	1.71
147	0.4228	0.1763	1.71
148	0.4235	0.1770	1.71
149	0.4240	0.1774	1.72
150	0.4245	0.1782	1.73
151	0.4244	0.1781	1.73
152	0.4250	0.1787	1.73
153	0.4259	0.1797	1.74
154	0.4257	0.1796	1.74
155	0.4266	0.1805	1.75
156	0.4274	0.1814	1.76
157	0.4271	0.1811	1.76
158	0.4283	0.1823	1.77
159	0.4286	0.1824	1.77
160	0.4292	0.1832	1.78
161	0.4304	0.1843	1.79
162	0.4303	0.1843	1.79
163	0.4318	0.1855	1.80
164	0.4314	0.1852	1.80
165	0.4327	0.1865	1.81
166	0.4331	0.1867	1.82
167	0.4338	0.1875	1.82
168	0.4343	0.1879	1.83
169	0.4349	0.1883	1.83
170	0.4356	0.1889	1.84
171	0.4364	0.1896	1.84
172	0.4378	0.1908	1.86
173	0.4381	0.1910	1.86
174	0.4387	0.1914	1.86
175	0.4398	0.1925	1.87
176	0.4404	0.1929	1.88
177	0.4409	0.1932	1.88
178	0.4423	0.1945	1.89
179	0.4428	0.1948	1.90
180	0.4435	0.1953	1.90
181	0.4448	0.1964	1.91
182	0.4453	0.1968	1.92
183	0.4462	0.1974	1.92
184	0.4468	0.1978	1.93
185	0.4481	0.1989	1.94
186	0.4489	0.1995	1.94
187	0.4493	0.1999	1.95
188	0.4502	0.2005	1.95
189	0.4510	0.2011	1.96
190	0.4519	0.2018	1.97
191	0.4535	0.2031	1.98
192	0.4540	0.2037	1.99
193	0.4553	0.2048	2.00
194	0.4559	0.2056	2.01
195	0.4571	0.2068	2.02
196	0.4581	0.2076	2.03
197	0.4591	0.2085	2.04
198	0.4607	0.2098	2.05
199	0.4618	0.2108	2.06
200	0.4631	0.2120	2.07
