#Epoch	RMSE	MAE	MAPE(%)
1	0.4693	0.3830	6.43
2	0.8308	0.7519	12.48
3	0.9655	0.9063	14.95
4	0.8802	0.8192	13.54
5	0.8546	0.7965	13.16
6	0.8207	0.7646	12.63
7	0.7868	0.7327	12.11
8	0.7546	0.7026	11.61
9	0.7170	0.6669	11.02
10	0.6841	0.6359	10.51
11	0.6447	0.5985	9.89
12	0.6088	0.5644	9.33
13	0.5681	0.5254	8.69
14	0.5296	0.4878	8.07
15	0.4928	0.4516	7.48
16	0.4578	0.4171	6.92
17	0.4258	0.3855	6.40
18	0.3965	0.3564	5.92
19	0.3721	0.3323	5.52
20	0.3529	0.3134	5.21
21	0.3336	0.2946	4.91
22	0.3159	0.2773	4.62
23	0.3012	0.2630	4.39
24	0.2889	0.2510	4.19
25	0.2807	0.2430	4.06
26	0.2733	0.2359	3.94
27	0.2686	0.2312	3.86
28	0.2639	0.2265	3.78
29	0.2609	0.2234	3.73
30	0.2577	0.2201	3.68
31	0.2553	0.2176	3.64
32	0.2529	0.2150	3.60
33	0.2509	0.2127	3.56
34	0.2486	0.2102	3.52
35	0.2469	0.2083	3.49
36	0.2452	0.2063	3.46
37	0.2433	0.2042	3.42
38	0.2419	0.2025	3.39
39	0.2404	0.2007	3.37
40	0.2390	0.1990	3.34
41	0.2380	0.1978	3.32
42	0.2371	0.1966	3.30
43	0.2361	0.1951	3.28
44	0.2349	0.1935	3.25
45	0.2337	0.1920	3.23
46	0.2328	0.1908	3.21
47	0.2329	0.1905	3.20
48	0.2324	0.1895	3.19
49	0.2323	0.1891	3.18
50	0.2321	0.1885	3.17
51	0.2318	0.1878	3.16
52	0.2314	0.1869	3.15
53	0.2312	0.1863	3.14
54	0.2319	0.1866	3.14
55	0.2320	0.1862	3.14
56	0.2323	0.1861	3.14
57	0.2325	0.1859	3.14
58	0.2326	0.1856	3.13
59	0.2326	0.1852	3.12
60	0.2326	0.1847	3.12
61	0.2325	0.1843	3.11
62	0.2328	0.1843	3.11
63	0.2331	0.1843	3.11
64	0.2333	0.1841	3.11
65	0.2334	0.1840	3.11
66	0.2340	0.1842	3.11
67	0.2357	0.1856	3.14
68	0.2370	0.1865	3.15
69	0.2381	0.1871	3.16
70	0.2388	0.1874	3.17
71	0.2395	0.1877	3.17
72	0.2406	0.1885	3.19
73	0.2435	0.1911	3.23
74	0.2452	0.1924	3.25
75	0.2471	0.1939	3.28
76	0.2497	0.1958	3.31
77	0.2510	0.1967	3.33
78	0.2526	0.1976	3.34
79	0.2527	0.1973	3.34
80	0.2544	0.1989	3.36
81	0.2562	0.1999	3.38
82	0.2550	0.1985	3.36
83	0.2561	0.1997	3.38
84	0.2589	0.2016	3.41
85	0.2546	0.1972	3.34
86	0.2547	0.1974	3.34
87	0.2564	0.1993	3.37
88	0.2594	0.2020	3.42
89	0.2609	0.2032	3.44
90	0.2637	0.2051	3.47
91	0.2612	0.2023	3.43
92	0.2623	0.2035	3.45
93	0.2650	0.2060	3.49
94	0.2676	0.2080	3.52
95	0.2656	0.2057	3.48
96	0.2666	0.2067	3.50
97	0.2694	0.2094	3.55
98	0.2712	0.2107	3.57
99	0.2721	0.2114	3.58
100	0.2742	0.2130	3.61
101	0.2721	0.2106	3.57
102	0.2729	0.2115	3.58
103	0.2754	0.2138	3.62
104	0.2767	0.2150	3.64
105	0.2795	0.2172	3.68
106	0.2766	0.2141	3.63
107	0.2773	0.2149	3.64
108	0.2799	0.2175	3.68
109	0.2819	0.2190	3.71
110	0.2806	0.2175	3.68
111	0.2824	0.2194	3.72
112	0.2851	0.2216	3.75
113	0.2832	0.2195	3.72
114	0.2847	0.2211	3.74
115	0.2870	0.2232	3.78
116	0.2868	0.2228	3.77
117	0.2889	0.2249	3.81
118	0.2903	0.2259	3.83
119	0.2908	0.2263	3.83
120	0.2926	0.2277	3.86
121	0.2912	0.2262	3.83
122	0.2930	0.2280	3.86
123	0.2950	0.2297	3.89
124	0.2944	0.2290	3.88
125	0.2964	0.2310	3.91
126	0.2989	0.2331	3.95
127	0.2977	0.2317	3.92
128	0.2995	0.2336	3.95
129	0.3022	0.2359	3.99
130	0.3007	0.2343	3.97
131	0.3026	0.2362	4.00
132	0.3049	0.2383	4.03
133	0.3035	0.2367	4.01
134	0.3050	0.2384	4.03
135	0.3070	0.2402	4.06
136	0.3058	0.2389	4.04
137	0.3075	0.2406	4.07
138	0.3093	0.2423	4.10
139	0.3084	0.2413	4.08
140	0.3101	0.2431	4.11
141	0.3118	0.2447	4.14
142	0.3110	0.2438	4.12
143	0.3128	0.2457	4.16
144	0.3146	0.2473	4.18
145	0.3139	0.2465	4.17
146	0.3159	0.2485	4.20
147	0.3177	0.2502	4.23
148	0.3164	0.2488	4.21
149	0.3181	0.2505	4.24
150	0.3198	0.2520	4.26
151	0.3196	0.2518	4.26
152	0.3214	0.2536	4.29
153	0.3229	0.2550	4.31
154	0.3227	0.2547	4.31
155	0.3244	0.2563	4.33
156	0.3256	0.2575	4.35
