#Epoch	RMSE	MAE	MAPE(%)
1	0.3759	0.2386	6.22
2	0.3496	0.2268	5.96
3	0.3182	0.1913	4.91
4	0.2695	0.1645	4.23
5	0.2234	0.1278	3.21
6	0.1968	0.1006	2.43
7	0.1878	0.0923	2.21
8	0.1825	0.0855	2.01
9	0.1661	0.0877	2.16
10	0.1789	0.0814	1.90
11	0.1694	0.0791	1.87
12	0.1662	0.0748	1.75
13	0.1566	0.0729	1.74
14	0.1583	0.0712	1.68
15	0.1496	0.0653	1.54
16	0.1440	0.0656	1.59
17	0.1316	0.0617	1.51
18	0.1295	0.0648	1.62
19	0.1303	0.0573	1.38
20	0.1340	0.0589	1.42
21	0.1270	0.0562	1.36
22	0.1247	0.0562	1.37
23	0.1207	0.0592	1.47
24	0.1209	0.0643	1.61
25	0.1257	0.0521	1.23
26	0.1241	0.0564	1.38
27	0.1162	0.0571	1.40
28	0.1208	0.0539	1.31
29	0.1213	0.0528	1.27
30	0.1238	0.0552	1.34
31	0.1159	0.0523	1.27
32	0.1169	0.0580	1.45
33	0.1200	0.0520	1.24
34	0.1155	0.0515	1.24
35	0.1159	0.0507	1.22
36	0.1126	0.0568	1.40
37	0.1145	0.0670	1.70
38	0.1127	0.0529	1.29
39	0.1147	0.0524	1.27
40	0.1174	0.0542	1.32
41	0.1150	0.0512	1.24
42	0.1132	0.0498	1.20
43	0.1127	0.0647	1.63
44	0.1104	0.0497	1.20
45	0.1137	0.0507	1.22
46	0.1103	0.0497	1.20
47	0.1122	0.0511	1.24
48	0.1109	0.0558	1.38
49	0.1111	0.0514	1.25
50	0.1109	0.0500	1.21
51	0.1101	0.0550	1.36
52	0.1090	0.0515	1.25
53	0.1094	0.0512	1.25
54	0.1096	0.0514	1.25
55	0.1098	0.0506	1.24
56	0.1085	0.0515	1.25
57	0.1139	0.0513	1.23
58	0.1110	0.0620	1.56
59	0.1081	0.0508	1.24
60	0.1088	0.0499	1.20
61	0.1077	0.0513	1.26
62	0.1097	0.0571	1.41
63	0.1088	0.0525	1.27
64	0.1086	0.0519	1.28
65	0.1106	0.0618	1.54
66	0.1094	0.0517	1.27
67	0.1101	0.0489	1.16
68	0.1076	0.0481	1.17
69	0.1077	0.0529	1.30
70	0.1107	0.0614	1.54
71	0.1092	0.0564	1.40
72	0.1083	0.0456	1.08
73	0.1074	0.0504	1.23
74	0.1100	0.0546	1.34
75	0.1114	0.0593	1.47
76	0.1089	0.0504	1.22
77	0.1067	0.0469	1.12
78	0.1079	0.0520	1.28
79	0.1106	0.0630	1.58
80	0.1074	0.0489	1.18
81	0.1123	0.0553	1.36
82	0.1105	0.0552	1.36
