#Epoch	RMSE	MAE	MAPE(%)
1	0.3623	0.2345	3.06
2	0.3416	0.2282	2.98
3	0.3166	0.2051	2.66
4	0.2899	0.1834	2.36
5	0.2635	0.1622	2.07
6	0.2496	0.1431	1.81
7	0.2348	0.1335	1.68
8	0.2251	0.1287	1.62
9	0.2207	0.1237	1.56
10	0.2101	0.1198	1.51
11	0.2097	0.1187	1.50
12	0.2050	0.1146	1.44
13	0.2030	0.1159	1.46
14	0.1950	0.1103	1.39
15	0.1929	0.1086	1.37
16	0.1881	0.1104	1.40
17	0.1879	0.1045	1.32
18	0.1838	0.1040	1.32
19	0.1785	0.0997	1.26
20	0.1749	0.0975	1.23
21	0.1675	0.0922	1.17
22	0.1652	0.0952	1.21
23	0.1599	0.0913	1.16
24	0.1615	0.0860	1.09
25	0.1527	0.0917	1.18
26	0.1489	0.0865	1.11
27	0.1488	0.0833	1.07
28	0.1428	0.0856	1.11
29	0.1462	0.0842	1.08
30	0.1366	0.0787	1.01
31	0.1402	0.0828	1.07
32	0.1324	0.0778	1.00
33	0.1375	0.0764	0.98
34	0.1345	0.0814	1.05
35	0.1326	0.0826	1.07
36	0.1315	0.0712	0.91
37	0.1327	0.0779	1.01
38	0.1297	0.0766	0.99
39	0.1284	0.0757	0.98
40	0.1295	0.0762	0.98
41	0.1284	0.0764	0.99
42	0.1245	0.0712	0.92
43	0.1274	0.0626	0.80
44	0.1256	0.0703	0.90
45	0.1238	0.0716	0.92
46	0.1281	0.0804	1.04
47	0.1240	0.0738	0.95
48	0.1219	0.0751	0.97
49	0.1242	0.0758	0.98
50	0.1219	0.0697	0.90
51	0.1237	0.0707	0.91
52	0.1232	0.0774	1.00
53	0.1185	0.0664	0.85
54	0.1187	0.0621	0.79
55	0.1217	0.0761	0.99
56	0.1231	0.0818	1.06
57	0.1194	0.0735	0.95
58	0.1186	0.0691	0.89
59	0.1253	0.0844	1.10
60	0.1170	0.0663	0.85
61	0.1164	0.0674	0.87
62	0.1193	0.0715	0.92
63	0.1193	0.0793	1.03
64	0.1180	0.0673	0.86
65	0.1173	0.0696	0.90
