#Epoch	RMSE	MAE	MAPE(%)
1	0.5140	0.4257	4.78
2	0.3983	0.3456	3.87
3	0.4223	0.3654	4.10
4	0.4414	0.3911	4.39
5	0.4290	0.3794	4.26
6	0.3874	0.3490	3.92
7	0.3466	0.2947	3.30
8	0.2953	0.2339	2.60
9	0.2888	0.2093	2.31
10	0.3573	0.3142	3.52
11	0.4689	0.4351	4.90
12	0.4317	0.3949	4.44
13	0.4667	0.4300	4.84
14	0.8595	0.8145	9.15
15	1.4279	0.8700	9.87
16	1.5734	0.9492	10.77
17	1.8334	1.1136	12.64
18	2.3166	1.5974	18.09
19	1.1130	0.7114	8.06
20	0.5569	0.5267	5.94
21	0.5802	0.5494	6.20
22	0.5810	0.5499	6.20
23	0.5702	0.5388	6.08
24	0.5743	0.5434	6.13
25	0.5706	0.5395	6.08
26	0.5660	0.5347	6.03
27	0.5579	0.5270	5.94
28	0.5541	0.5233	5.90
29	0.5503	0.5181	5.84
30	0.5454	0.5125	5.78
31	0.5329	0.4942	5.57
32	0.4743	0.4378	4.93
33	0.5000	0.4556	5.13
34	0.5128	0.4709	5.30
35	0.5123	0.4755	5.36
36	0.5069	0.4758	5.36
37	0.5392	0.5076	5.72
38	0.4501	0.4104	4.62
39	0.5111	0.4760	5.37
40	0.5379	0.5081	5.73
41	0.6128	0.5812	6.56
42	0.5979	0.5669	6.40
43	0.5992	0.5681	6.41
44	0.6017	0.5704	6.44
45	0.6076	0.5764	6.50
46	0.6086	0.5772	6.51
47	0.6102	0.5788	6.53
48	0.6069	0.5756	6.49
49	0.6034	0.5721	6.45
50	0.6006	0.5694	6.42
51	0.6081	0.5765	6.50
52	0.6036	0.5719	6.45
53	0.5994	0.5680	6.41
54	0.5986	0.5672	6.40
55	0.5923	0.5611	6.33
56	0.5775	0.5464	6.16
57	0.5790	0.5479	6.18
58	0.5692	0.5386	6.07
59	0.5637	0.5324	6.00
60	0.5694	0.5384	6.07
61	0.5352	0.5044	5.69
62	0.5589	0.5277	5.95
63	0.5816	0.5503	6.21
64	0.5936	0.5615	6.33
65	0.5929	0.5604	6.32
66	0.5936	0.5613	6.33
67	0.6024	0.5699	6.43
68	0.6021	0.5697	6.43
69	0.6126	0.5805	6.55
70	0.6116	0.5794	6.54
71	0.6080	0.5761	6.50
72	0.6033	0.5717	6.45
73	0.6002	0.5686	6.41
74	0.6053	0.5737	6.47
75	0.6015	0.5701	6.43
76	0.5958	0.5645	6.37
77	0.5928	0.5617	6.34
78	0.5940	0.5628	6.35
79	0.5824	0.5515	6.22
80	0.5923	0.5612	6.33
81	0.5868	0.5559	6.27
82	0.5570	0.5267	5.94
83	0.5669	0.5363	6.05
84	0.5804	0.5496	6.20
85	0.5862	0.5553	6.26
86	0.5981	0.5670	6.40
87	0.5911	0.5600	6.32
88	0.5895	0.5585	6.30
89	0.6021	0.5708	6.44
90	0.6061	0.5748	6.48
91	0.6044	0.5731	6.47
92	0.6038	0.5726	6.46
93	0.5925	0.5615	6.33
94	0.5707	0.5400	6.09
95	0.5685	0.5381	6.07
96	0.5517	0.5216	5.88
97	0.5446	0.5146	5.80
98	0.5504	0.5200	5.86
99	0.4703	0.4391	4.94
100	0.3461	0.3028	3.39
101	0.5324	0.5032	5.67
102	0.6223	0.5901	6.66
103	0.5850	0.5541	6.25
104	0.5877	0.5567	6.28
105	0.5933	0.5622	6.34
106	0.6106	0.5790	6.53
107	0.5974	0.5663	6.39
108	0.6014	0.5702	6.43
109	0.5481	0.5173	5.83
110	0.5675	0.5373	6.06
111	0.5669	0.5366	6.05
112	0.5809	0.5503	6.21
113	0.6058	0.5746	6.48
114	0.6105	0.5792	6.54
115	0.5999	0.5687	6.42
116	0.6003	0.5690	6.42
117	0.5683	0.5373	6.06
118	0.3234	0.2695	3.00
119	0.6026	0.5714	6.45
120	0.5686	0.5384	6.07
121	0.5794	0.5489	6.19
122	0.5634	0.5331	6.01
123	0.5776	0.5470	6.17
124	0.5877	0.5570	6.28
125	0.6163	0.5849	6.60
126	0.6092	0.5780	6.52
127	0.6195	0.5879	6.63
128	0.6182	0.5867	6.62
129	0.6056	0.5741	6.48
130	0.6116	0.5800	6.54
131	0.6180	0.5863	6.62
132	0.6187	0.5872	6.63
133	0.6179	0.5865	6.62
134	0.6209	0.5894	6.65
135	0.6175	0.5861	6.61
136	0.6127	0.5815	6.56
137	0.6181	0.5866	6.62
138	0.6189	0.5875	6.63
139	0.6157	0.5843	6.59
140	0.6073	0.5762	6.50
141	0.6133	0.5820	6.57
142	0.5978	0.5669	6.40
143	0.6006	0.5696	6.43
144	0.5730	0.5425	6.12
145	0.5386	0.5088	5.74
146	0.4796	0.4487	5.05
147	0.4214	0.3858	4.34
148	0.3708	0.3301	3.70
149	0.3510	0.3084	3.45
150	0.3394	0.2948	3.30
151	0.4021	0.3648	4.10
152	0.3302	0.2814	3.14
153	0.4636	0.4318	4.86
154	0.5943	0.5633	6.35
155	0.6485	0.6159	6.95
156	0.6329	0.6009	6.78
157	0.6362	0.6041	6.82
158	0.6296	0.5977	6.74
159	0.6276	0.5958	6.72
160	0.6302	0.5983	6.75
161	0.6282	0.5964	6.73
162	0.6304	0.5985	6.75
163	0.6324	0.6004	6.78
164	0.6296	0.5977	6.74
165	0.6307	0.5988	6.76
166	0.6275	0.5957	6.72
167	0.6272	0.5954	6.72
168	0.6290	0.5972	6.74
169	0.6312	0.5992	6.76
170	0.6314	0.5995	6.76
171	0.6295	0.5976	6.74
172	0.6310	0.5991	6.76
173	0.6284	0.5965	6.73
174	0.6257	0.5940	6.70
175	0.6262	0.5945	6.71
176	0.6284	0.5966	6.73
177	0.6333	0.6013	6.79
178	0.6161	0.5846	6.60
179	0.6299	0.5980	6.75
180	0.6275	0.5957	6.72
181	0.6317	0.5997	6.77
182	0.6203	0.5887	6.64
183	0.6186	0.5871	6.62
184	0.6215	0.5898	6.66
185	0.6177	0.5862	6.61
186	0.6188	0.5872	6.63
187	0.6155	0.5840	6.59
188	0.6066	0.5753	6.49
189	0.5845	0.5537	6.25
190	0.5744	0.5437	6.13
191	0.5017	0.4715	5.31
192	0.5187	0.4848	5.47
193	0.7214	0.6915	7.79
194	0.2734	0.2242	2.47
195	0.8005	0.7719	8.69
196	0.2457	0.1929	2.15
197	1.1186	1.0796	12.16
198	0.3575	0.3201	3.61
199	0.8268	0.7904	8.91
200	0.5438	0.5098	5.75
