井位,ARIMA阶次,差分阶数,AIC,Train_RMSE,Train_MAE,Train_MAPE(%),Test_RMSE,Test_MAE,Test_MAPE(%)
井1,"(3, 1, 4)",1,-1405.90,0.6388,0.0502,0.35,0.4620,0.2805,1.83
井2,"(1, 1, 1)",1,-1974.00,0.3362,0.0301,0.40,0.9151,0.7587,9.79
