#Epoch	RMSE	MAE	MAPE(%)
1	0.4411	0.2886	0.20
2	0.4052	0.2225	0.15
3	0.3653	0.1972	0.13
4	0.3268	0.2021	0.14
5	0.2996	0.1570	0.11
6	0.2932	0.1466	0.10
7	0.2665	0.1339	0.09
8	0.2573	0.1203	0.08
9	0.2383	0.1191	0.08
10	0.2275	0.1079	0.07
11	0.2151	0.1115	0.08
12	0.2122	0.1002	0.07
13	0.2165	0.0940	0.06
14	0.2091	0.1209	0.08
15	0.2151	0.0910	0.06
16	0.2014	0.1032	0.07
17	0.1938	0.0999	0.07
18	0.2090	0.0858	0.06
19	0.1964	0.1315	0.09
20	0.1852	0.0844	0.06
21	0.1890	0.0873	0.06
22	0.2107	0.1732	0.12
23	0.1818	0.1052	0.07
24	0.1921	0.0760	0.05
25	0.1961	0.1478	0.10
26	0.1809	0.0843	0.06
27	0.1908	0.1387	0.09
28	0.1810	0.1110	0.08
29	0.1798	0.1162	0.08
30	0.1872	0.1389	0.09
31	0.1764	0.1031	0.07
32	0.1870	0.1373	0.09
33	0.1816	0.1311	0.09
34	0.1731	0.0803	0.05
35	0.1788	0.0876	0.06
36	0.1935	0.1539	0.10
37	0.1936	0.1597	0.11
38	0.1683	0.0939	0.06
39	0.1774	0.1181	0.08
40	0.1962	0.1633	0.11
41	0.1790	0.1328	0.09
42	0.1722	0.0711	0.05
43	0.1909	0.1515	0.10
44	0.1672	0.0998	0.07
45	0.1724	0.1109	0.08
46	0.2052	0.1794	0.12
47	0.1642	0.0899	0.06
48	0.1745	0.1133	0.08
49	0.1846	0.1478	0.10
50	0.1729	0.1193	0.08
51	0.1882	0.1549	0.11
52	0.1962	0.1706	0.12
53	0.1663	0.1060	0.07
54	0.1718	0.1074	0.07
55	0.1843	0.1472	0.10
56	0.1887	0.1583	0.11
57	0.1734	0.1312	0.09
58	0.1637	0.0919	0.06
59	0.1753	0.1294	0.09
60	0.1937	0.1684	0.11
61	0.1625	0.0839	0.06
62	0.1847	0.1486	0.10
63	0.1805	0.1471	0.10
64	0.1736	0.1318	0.09
65	0.1726	0.1324	0.09
66	0.1687	0.1280	0.09
67	0.1662	0.1129	0.08
68	0.1655	0.1120	0.08
69	0.2207	0.2016	0.14
70	0.1593	0.1012	0.07
71	0.1806	0.1405	0.10
72	0.1636	0.0919	0.06
73	0.2348	0.2189	0.15
74	0.1558	0.0752	0.05
75	0.1815	0.1325	0.09
76	0.1850	0.1537	0.10
77	0.1764	0.1388	0.09
78	0.1621	0.0962	0.07
79	0.1855	0.1537	0.10
80	0.1618	0.1071	0.07
81	0.1639	0.0978	0.07
82	0.1825	0.1520	0.10
83	0.1613	0.0910	0.06
84	0.1853	0.1551	0.11
85	0.1594	0.1043	0.07
86	0.1634	0.1064	0.07
87	0.1857	0.1571	0.11
88	0.1650	0.1229	0.08
89	0.1626	0.1009	0.07
90	0.1856	0.1581	0.11
91	0.1592	0.1003	0.07
92	0.1885	0.1606	0.11
93	0.1565	0.0780	0.05
94	0.1710	0.1236	0.08
95	0.1786	0.1455	0.10
96	0.1675	0.1265	0.09
97	0.1639	0.1143	0.08
98	0.1692	0.1311	0.09
99	0.1616	0.1151	0.08
100	0.1610	0.1118	0.08
101	0.1737	0.1384	0.09
102	0.1628	0.1215	0.08
103	0.1646	0.1204	0.08
104	0.1988	0.1774	0.12
105	0.1529	0.1004	0.07
106	0.1731	0.1348	0.09
107	0.1641	0.1259	0.09
108	0.1686	0.1324	0.09
109	0.1608	0.1198	0.08
110	0.1761	0.1470	0.10
111	0.1765	0.1476	0.10
112	0.1554	0.1082	0.07
113	0.1617	0.1182	0.08
114	0.1576	0.1127	0.08
115	0.1656	0.1256	0.09
116	0.1563	0.1090	0.07
117	0.1988	0.1791	0.12
118	0.1477	0.0785	0.05
119	0.2079	0.1902	0.13
120	0.1478	0.0798	0.05
121	0.2013	0.1819	0.12
122	0.1477	0.0795	0.05
123	0.1785	0.1480	0.10
124	0.1634	0.1268	0.09
125	0.1806	0.1535	0.10
126	0.1567	0.1135	0.08
127	0.1626	0.1247	0.08
128	0.1539	0.0995	0.07
129	0.1706	0.1372	0.09
130	0.1564	0.1032	0.07
131	0.1728	0.1374	0.09
132	0.1643	0.1235	0.08
133	0.1523	0.1015	0.07
134	0.1908	0.1675	0.11
135	0.1576	0.1159	0.08
136	0.1576	0.1154	0.08
137	0.1732	0.1451	0.10
138	0.1545	0.1118	0.08
139	0.1544	0.1097	0.07
140	0.1715	0.1424	0.10
141	0.1685	0.1381	0.09
142	0.1683	0.1394	0.09
