#Epoch	RMSE	MAE	MAPE(%)
1	0.4936	0.3824	5.51
2	0.9613	0.8287	12.10
3	0.5407	0.4699	6.81
4	0.3974	0.2626	3.67
5	0.3912	0.2555	3.58
6	0.4206	0.2812	3.92
7	0.3949	0.2606	3.63
8	0.3645	0.2210	3.06
9	0.4101	0.2708	3.78
10	0.3366	0.2148	2.99
11	0.3408	0.2033	2.83
12	0.3530	0.3062	4.40
13	0.4858	0.4667	6.79
14	0.4997	0.4786	6.97
15	0.4910	0.4412	6.43
16	0.4152	0.3542	5.12
17	0.3457	0.3044	4.39
18	0.4471	0.4075	5.91
19	0.4570	0.4055	5.88
20	0.3785	0.3383	4.89
21	0.2832	0.2186	3.11
22	0.3687	0.3361	4.86
23	0.3150	0.2623	3.76
24	0.2796	0.1501	2.06
25	0.3518	0.2771	3.96
26	0.4548	0.3775	5.46
27	0.4392	0.3793	5.48
28	0.3027	0.2332	3.31
29	0.2647	0.1541	2.13
30	0.2638	0.1781	2.50
31	0.3620	0.3296	4.75
32	0.5107	0.4903	7.14
33	0.5505	0.5328	7.77
34	0.4415	0.4232	6.15
35	0.3185	0.2805	4.03
36	0.2922	0.2020	2.85
37	0.3610	0.3324	4.81
38	0.5303	0.5110	7.45
39	0.3226	0.2912	4.20
40	0.2408	0.1305	1.79
41	0.2168	0.1307	1.81
42	0.2953	0.2490	3.57
43	0.2459	0.2153	3.11
44	0.3018	0.2732	3.95
45	0.3026	0.2199	3.12
46	0.3125	0.2618	3.75
47	0.2259	0.1503	2.12
48	0.2951	0.2445	3.53
49	0.3355	0.3119	4.51
50	0.2364	0.1685	2.38
51	0.2535	0.1785	2.51
52	0.2319	0.1946	2.80
53	0.2020	0.1627	2.33
54	0.3780	0.3616	5.25
55	0.1514	0.0835	1.16
56	0.2365	0.2166	3.13
57	0.1590	0.0995	1.40
58	0.2803	0.2485	3.57
59	0.1725	0.1340	1.91
60	0.3038	0.2729	3.93
61	0.2002	0.1101	1.51
62	0.2345	0.1739	2.46
63	0.2174	0.1502	2.12
64	0.2280	0.1903	2.73
65	0.1717	0.0997	1.39
66	0.2822	0.2665	3.86
67	0.2149	0.1723	2.47
68	0.2570	0.2437	3.55
69	0.2042	0.1587	2.26
70	0.2898	0.2704	3.91
71	0.2302	0.2068	2.98
72	0.3185	0.2898	4.18
73	0.1525	0.0936	1.30
74	0.2732	0.2112	3.00
75	0.1944	0.0930	1.27
76	0.4554	0.4408	6.41
77	0.2692	0.1849	2.60
78	0.2612	0.2011	2.85
79	0.2790	0.2325	3.32
80	0.2858	0.2673	3.88
81	0.2571	0.2368	3.43
82	0.3412	0.3277	4.76
83	0.2479	0.2141	3.08
84	0.2592	0.2309	3.33
85	0.1677	0.1112	1.56
86	0.3379	0.3193	4.62
87	0.2011	0.1391	1.95
88	0.2300	0.2087	3.02
89	0.1792	0.1347	1.91
90	0.2953	0.2755	3.98
91	0.1910	0.1415	2.00
92	0.2783	0.2385	3.42
93	0.1790	0.1179	1.66
94	0.4132	0.4008	5.86
95	0.2318	0.2006	2.89
96	0.1593	0.1271	1.82
97	0.2729	0.2386	3.43
98	0.3337	0.3226	4.71
99	0.2150	0.1745	2.49
100	0.2164	0.1863	2.69
101	0.2198	0.1863	2.67
102	0.2961	0.2855	4.17
103	0.1862	0.1546	2.22
104	0.2349	0.2204	3.20
105	0.1743	0.1485	2.13
106	0.2463	0.2281	3.30
107	0.1346	0.0685	0.94
108	0.3490	0.3359	4.88
109	0.1808	0.1266	1.78
110	0.2220	0.1451	2.03
111	0.2112	0.1268	1.76
112	0.2091	0.1464	2.06
113	0.1645	0.0939	1.30
114	0.2568	0.2368	3.43
115	0.2063	0.1200	1.66
116	0.2270	0.1807	2.58
117	0.1646	0.1284	1.83
118	0.3281	0.3149	4.60
119	0.1601	0.1271	1.82
120	0.2269	0.2120	3.09
121	0.1535	0.1179	1.68
122	0.2693	0.2581	3.76
123	0.1478	0.0781	1.08
124	0.2293	0.2015	2.90
125	0.1501	0.0996	1.40
126	0.3062	0.2911	4.22
127	0.1550	0.0932	1.30
128	0.3633	0.3531	5.15
129	0.1908	0.1662	2.39
130	0.3063	0.2957	4.31
131	0.1503	0.1137	1.62
132	0.2281	0.2176	3.17
133	0.2563	0.2464	3.59
134	0.1776	0.1497	2.15
135	0.3213	0.3111	4.53
136	0.2863	0.2765	4.03
137	0.2637	0.2353	3.38
138	0.1811	0.1215	1.71
139	0.2429	0.2258	3.28
140	0.1661	0.1270	1.81
141	0.2518	0.2412	3.52
142	0.1760	0.1507	2.16
143	0.2499	0.2404	3.51
144	0.1871	0.1699	2.46
145	0.1812	0.1632	2.36
146	0.2567	0.2400	3.47
147	0.2653	0.2535	3.68
148	0.2907	0.2673	3.86
149	0.1981	0.1701	2.46
150	0.1979	0.1707	2.46
151	0.2125	0.1896	2.75
152	0.2534	0.2406	3.52
