#Epoch	RMSE	MAE	MAPE(%)
1	1.1649	1.0137	6.11
2	2.3618	2.2403	13.38
3	1.9232	1.8468	11.05
4	2.1772	2.0907	12.50
5	2.0047	1.9213	11.49
6	1.7460	1.6609	9.95
7	1.2068	1.0608	6.39
8	0.7413	0.5921	3.59
9	1.1605	1.0273	6.19
10	0.7181	0.5688	3.45
11	0.7189	0.5729	3.47
12	1.3688	1.2488	7.50
13	2.4857	2.4112	14.40
14	2.7271	2.6694	15.93
15	2.5039	2.4408	14.57
16	2.5661	2.5058	14.96
17	2.4186	2.3589	14.09
18	2.5034	2.4413	14.57
19	2.4598	2.4007	14.33
20	2.4478	2.3882	14.26
21	2.4182	2.3608	14.10
22	2.2732	2.2059	13.18
23	2.5378	2.4797	14.80
24	2.1449	2.0679	12.36
25	2.1277	2.0412	12.20
26	1.9376	1.8452	11.04
27	2.2081	2.1419	12.80
28	2.0059	1.9343	11.57
29	2.4112	2.3065	13.78
30	1.8992	1.8135	10.85
31	2.0505	1.9609	11.73
32	2.1301	1.9324	11.56
33	1.3661	1.2560	7.55
34	2.4765	2.3552	14.07
35	2.2328	2.0938	12.51
36	2.2397	2.0739	12.40
37	2.2878	2.1593	12.90
38	2.4625	2.3844	14.24
39	2.4853	2.4203	14.45
40	2.4795	2.4196	14.45
41	2.4112	2.3518	14.04
42	2.4354	2.3777	14.20
43	2.4495	2.3927	14.29
44	2.4227	2.3648	14.12
45	2.4152	2.3577	14.08
46	2.4009	2.3435	14.00
47	2.4126	2.3551	14.06
48	2.3970	2.3387	13.97
49	2.3920	2.3329	13.93
50	2.4426	2.3839	14.23
51	2.3191	2.2557	13.47
52	2.3094	2.2434	13.40
53	2.4168	2.3553	14.06
54	1.4415	1.3437	8.07
55	1.7869	1.6944	10.15
56	2.3228	2.2470	13.42
57	2.4811	2.4158	14.42
58	2.3606	2.2801	13.62
59	2.3484	2.2616	13.51
60	2.3227	2.2288	13.31
61	2.3137	2.2226	13.28
62	2.3958	2.3153	13.83
63	2.3814	2.2997	13.74
64	2.3580	2.2812	13.63
65	2.3666	2.2803	13.62
66	2.3221	2.2447	13.41
67	2.3205	2.2426	13.40
68	2.3487	2.2668	13.54
69	2.3072	2.2225	13.28
70	2.3069	2.2211	13.27
71	2.3562	2.2815	13.63
72	2.3996	2.3336	13.94
73	2.3851	2.3239	13.88
74	2.4132	2.3548	14.06
75	2.4251	2.3678	14.14
76	2.4083	2.3511	14.04
77	2.4130	2.3561	14.07
78	2.4183	2.3616	14.10
79	2.3940	2.3368	13.96
80	2.3923	2.3352	13.95
81	2.3632	2.3051	13.77
82	2.3799	2.3224	13.87
83	2.3830	2.3256	13.89
84	2.3892	2.3320	13.93
85	2.3845	2.3272	13.90
86	2.3829	2.3255	13.89
87	2.4091	2.3523	14.05
88	2.3960	2.3390	13.97
89	2.4013	2.3444	14.00
90	2.4008	2.3439	14.00
91	2.4001	2.3432	13.99
92	2.3661	2.3084	13.79
93	2.3938	2.3368	13.96
