#Epoch	RMSE	MAE	MAPE(%)
1	0.5565	0.5208	4.82
2	0.3616	0.3045	2.79
3	0.3747	0.3204	2.94
4	0.3509	0.3117	2.86
5	0.3288	0.2780	2.54
6	0.2879	0.2383	2.18
7	0.3399	0.2795	2.56
8	0.3375	0.2971	2.73
9	0.2256	0.1852	1.70
10	0.2939	0.2519	2.31
11	0.2765	0.2394	2.21
12	0.3185	0.2739	2.51
13	0.2709	0.2200	2.01
14	0.1849	0.1345	1.22
15	0.2381	0.2115	1.95
16	0.2811	0.2489	2.28
17	0.2418	0.2009	1.84
18	0.2094	0.1857	1.71
19	0.3255	0.2918	2.68
20	0.2239	0.1791	1.63
21	0.1615	0.1367	1.25
22	0.2888	0.2671	2.46
23	0.1629	0.1480	1.36
24	0.3191	0.2840	2.61
25	0.2248	0.1599	1.44
26	0.2077	0.1774	1.62
27	0.2324	0.2035	1.87
28	0.1771	0.1616	1.49
29	0.2073	0.1764	1.61
30	0.1430	0.1173	1.07
31	0.1198	0.0864	0.78
32	0.1629	0.1310	1.19
33	0.1473	0.1111	1.01
34	0.1746	0.1443	1.32
35	0.1686	0.1307	1.19
36	0.2075	0.1697	1.55
37	0.1622	0.1344	1.23
38	0.2600	0.2381	2.19
39	0.1868	0.1421	1.31
40	0.2125	0.1787	1.63
41	0.1019	0.0892	0.82
42	0.2327	0.1917	1.75
43	0.1266	0.1052	0.96
44	0.1818	0.1462	1.33
45	0.1350	0.1115	1.02
46	0.2381	0.2095	1.92
47	0.2222	0.1642	1.51
48	0.2326	0.1900	1.73
49	0.1196	0.1012	0.93
50	0.1609	0.1195	1.08
51	0.1788	0.1522	1.39
52	0.2904	0.2608	2.40
53	0.1068	0.0760	0.69
54	0.1384	0.1217	1.11
55	0.1636	0.1023	0.92
56	0.1125	0.0736	0.66
57	0.1293	0.0935	0.85
58	0.1704	0.1415	1.29
59	0.1281	0.0977	0.89
60	0.1511	0.1193	1.09
61	0.1699	0.1370	1.25
62	0.1008	0.0696	0.63
63	0.1788	0.1382	1.26
64	0.1187	0.0859	0.78
65	0.1722	0.1170	1.05
66	0.1409	0.1106	1.01
67	0.2380	0.2090	1.92
68	0.0762	0.0512	0.46
69	0.1925	0.1508	1.37
70	0.1278	0.1023	0.94
71	0.2088	0.1809	1.66
72	0.1164	0.0933	0.86
73	0.2539	0.2167	1.98
74	0.1232	0.0692	0.62
75	0.1321	0.1094	1.00
76	0.1390	0.0910	0.82
77	0.0936	0.0691	0.63
78	0.1922	0.1670	1.53
