#Epoch	RMSE	MAE	MAPE(%)
1	1.4670	1.1633	12.52
2	1.7171	1.4580	15.95
3	1.2344	0.9253	9.93
4	0.8493	0.4995	5.15
5	0.6320	0.2803	2.73
6	0.6006	0.2713	2.65
7	0.6076	0.2665	2.59
8	0.5634	0.2634	2.59
9	0.5495	0.2663	2.64
10	0.5344	0.2544	2.51
11	0.5164	0.2643	2.65
12	0.5045	0.2648	2.66
13	0.4955	0.2875	2.95
14	0.4771	0.2871	2.96
15	0.4722	0.2770	2.85
16	0.4651	0.2831	2.94
17	0.4601	0.2530	2.57
18	0.4481	0.2343	2.36
19	0.4368	0.2529	2.61
20	0.4291	0.2471	2.55
21	0.4223	0.2604	2.72
22	0.4238	0.2770	2.93
23	0.4131	0.2469	2.57
24	0.4046	0.2263	2.33
25	0.4022	0.2733	2.92
26	0.4021	0.2158	2.21
27	0.3915	0.2196	2.27
28	0.3881	0.2220	2.31
29	0.3801	0.2261	2.37
30	0.3743	0.2007	2.07
31	0.3676	0.2159	2.26
32	0.3665	0.2100	2.19
33	0.3656	0.1721	1.74
34	0.3551	0.2155	2.27
35	0.3598	0.1703	1.72
36	0.3512	0.1642	1.66
37	0.3458	0.1947	2.03
38	0.3420	0.1626	1.65
39	0.3426	0.1649	1.68
40	0.3346	0.1810	1.87
41	0.3363	0.1524	1.53
42	0.3291	0.1751	1.81
43	0.3294	0.1784	1.85
44	0.3219	0.1638	1.67
45	0.3274	0.1595	1.62
46	0.3210	0.1854	1.93
47	0.3211	0.1580	1.61
48	0.3258	0.2094	2.22
49	0.3187	0.1867	1.95
50	0.3162	0.1792	1.86
51	0.3172	0.1874	1.96
52	0.3156	0.1848	1.92
53	0.3164	0.1889	1.97
54	0.3317	0.2299	2.45
55	0.3098	0.1560	1.59
56	0.3112	0.1690	1.74
57	0.3347	0.2400	2.58
58	0.3199	0.2009	2.11
59	0.3093	0.1415	1.42
60	0.3107	0.1746	1.80
61	0.3193	0.2064	2.19
62	0.3215	0.2104	2.23
63	0.3104	0.1628	1.68
64	0.3328	0.2394	2.57
65	0.3162	0.1990	2.11
66	0.3037	0.1483	1.50
67	0.3085	0.1460	1.48
68	0.3026	0.1278	1.26
69	0.3153	0.1967	2.09
70	0.3030	0.1535	1.56
71	0.3097	0.1468	1.50
72	0.3055	0.1734	1.80
73	0.3103	0.1762	1.85
74	0.3078	0.1875	1.97
75	0.3087	0.1693	1.76
76	0.3035	0.1782	1.86
77	0.3103	0.1675	1.74
78	0.3323	0.2469	2.67
79	0.3219	0.1407	1.41
80	0.3155	0.1465	1.48
81	0.3371	0.1408	1.40
82	0.3231	0.1734	1.79
83	0.3095	0.1919	2.03
84	0.3125	0.2044	2.17
85	0.3021	0.1697	1.77
86	0.2934	0.1309	1.31
87	0.3092	0.1169	1.14
88	0.3349	0.2569	2.81
89	0.3344	0.2573	2.81
90	0.3240	0.1131	1.08
91	0.2959	0.1464	1.49
92	0.3021	0.1240	1.23
93	0.3006	0.1808	1.90
94	0.2983	0.1242	1.23
95	0.2947	0.1418	1.44
96	0.3042	0.1189	1.17
97	0.3088	0.1763	1.87
98	0.3321	0.2520	2.77
99	0.3245	0.1178	1.14
100	0.3581	0.1356	1.31
101	0.3026	0.1620	1.69
102	0.3694	0.1375	1.31
103	0.3188	0.1173	1.15
104	0.3783	0.1470	1.41
105	0.2995	0.1789	1.88
106	0.3809	0.1496	1.44
107	0.3156	0.2244	2.41
108	0.3793	0.1588	1.56
109	0.2938	0.1701	1.77
110	0.3950	0.2042	2.10
111	0.3574	0.1720	1.76
112	0.3608	0.2543	2.76
113	0.3874	0.1809	1.83
114	0.3228	0.1578	1.62
115	0.2997	0.1383	1.40
116	0.3234	0.1108	1.06
117	0.3150	0.2287	2.48
118	0.3669	0.1372	1.31
119	0.3002	0.1099	1.07
120	0.3118	0.1472	1.51
121	0.2908	0.1226	1.22
122	0.3153	0.1664	1.75
123	0.3038	0.1100	1.07
124	0.3111	0.1669	1.75
125	0.3036	0.1090	1.06
126	0.3313	0.1174	1.12
127	0.2878	0.1311	1.32
128	0.3221	0.1082	1.03
129	0.2867	0.1255	1.25
130	0.3078	0.1760	1.87
131	0.2909	0.1146	1.13
132	0.3511	0.1238	1.17
133	0.2916	0.1770	1.86
134	0.3614	0.1422	1.38
135	0.2883	0.1266	1.27
136	0.3888	0.1686	1.66
137	0.3255	0.1414	1.42
138	0.3516	0.1704	1.73
139	0.3222	0.1368	1.36
140	0.3248	0.1457	1.48
141	0.3204	0.1171	1.14
142	0.3095	0.1907	2.04
143	0.3500	0.1490	1.49
144	0.3070	0.1038	1.00
145	0.2939	0.1710	1.81
146	0.3570	0.1417	1.38
147	0.2883	0.1430	1.47
148	0.3633	0.1401	1.35
149	0.2939	0.1022	0.99
150	0.3151	0.1444	1.48
151	0.2920	0.1100	1.08
152	0.3608	0.1317	1.25
153	0.2919	0.1053	1.02
154	0.3401	0.1281	1.24
155	0.2877	0.1368	1.40
156	0.3663	0.1403	1.35
157	0.2961	0.1165	1.15
158	0.3421	0.1907	2.00
159	0.3523	0.1481	1.47
160	0.3728	0.1432	1.37
161	0.2914	0.1280	1.29
162	0.3335	0.1379	1.37
163	0.3120	0.1142	1.11
164	0.3320	0.1319	1.30
165	0.3201	0.1150	1.11
166	0.3138	0.1649	1.73
167	0.3322	0.1186	1.13
168	0.3468	0.1234	1.17
169	0.3614	0.1643	1.65
170	0.2965	0.1245	1.25
171	0.3046	0.1086	1.05
172	0.3108	0.1084	1.04
173	0.2895	0.1544	1.61
174	0.3001	0.1352	1.38
175	0.3681	0.1772	1.80
176	0.2888	0.1122	1.11
177	0.2941	0.1500	1.56
178	0.3143	0.1116	1.08
179	0.2912	0.1570	1.65
180	0.3216	0.1166	1.12
181	0.3383	0.1390	1.38
182	0.3021	0.1116	1.09
183	0.2967	0.2062	2.23
184	0.3950	0.1640	1.58
185	0.2975	0.1141	1.12
186	0.3671	0.1480	1.43
187	0.2832	0.1279	1.29
188	0.3645	0.1787	1.82
189	0.3071	0.1352	1.36
190	0.3453	0.1379	1.34
191	0.3072	0.1353	1.35
192	0.3337	0.2115	2.27
193	0.3296	0.1250	1.22
194	0.3182	0.1751	1.84
195	0.3328	0.1266	1.23
196	0.2952	0.1507	1.56
197	0.3128	0.1143	1.12
198	0.2906	0.1061	1.04
199	0.2819	0.1485	1.55
200	0.3172	0.1076	1.02
