#Epoch	RMSE	MAE	MAPE(%)
1	0.4183	0.3095	3.84
2	0.3969	0.2871	3.56
3	0.3750	0.2704	3.35
4	0.3612	0.2639	3.27
5	0.3694	0.2772	3.44
6	0.3731	0.2840	3.53
7	0.3767	0.2891	3.59
8	0.3757	0.2886	3.58
9	0.3728	0.2861	3.55
10	0.3617	0.2772	3.44
11	0.3530	0.2696	3.34
12	0.3443	0.2622	3.25
13	0.3703	0.2834	3.52
14	0.3474	0.2638	3.27
15	0.3366	0.2552	3.16
16	0.3345	0.2533	3.14
17	0.3257	0.2453	3.04
18	0.3364	0.2546	3.16
19	0.3458	0.2619	3.25
20	0.3294	0.2476	3.07
21	0.3260	0.2448	3.03
22	0.3154	0.2357	2.92
23	0.3113	0.2314	2.86
24	0.3204	0.2388	2.96
25	0.3287	0.2459	3.04
26	0.3190	0.2378	2.94
27	0.3153	0.2345	2.90
28	0.3071	0.2268	2.80
29	0.3054	0.2264	2.80
30	0.3058	0.2257	2.79
31	0.2983	0.2188	2.70
32	0.2992	0.2197	2.72
33	0.2944	0.2164	2.68
34	0.3029	0.2227	2.75
35	0.3024	0.2227	2.75
36	0.3078	0.2286	2.83
37	0.2982	0.2191	2.71
38	0.3032	0.2235	2.76
39	0.3201	0.2378	2.94
40	0.3177	0.2368	2.93
41	0.3197	0.2377	2.94
42	0.3207	0.2387	2.95
43	0.3081	0.2274	2.81
44	0.3071	0.2263	2.80
45	0.3100	0.2282	2.82
46	0.3023	0.2213	2.73
47	0.3107	0.2297	2.84
48	0.2920	0.2131	2.63
49	0.2979	0.2186	2.70
50	0.2957	0.2170	2.68
51	0.3069	0.2267	2.80
52	0.2993	0.2199	2.72
53	0.3106	0.2294	2.84
54	0.3195	0.2376	2.94
55	0.3121	0.2315	2.86
56	0.2999	0.2202	2.72
57	0.2774	0.2010	2.48
58	0.2776	0.2012	2.48
59	0.2840	0.2062	2.55
60	0.3009	0.2216	2.74
61	0.2977	0.2188	2.71
62	0.3008	0.2216	2.74
63	0.3035	0.2236	2.76
64	0.3027	0.2231	2.76
65	0.3075	0.2270	2.81
66	0.3012	0.2216	2.74
67	0.2942	0.2152	2.66
68	0.2964	0.2171	2.68
69	0.2942	0.2164	2.68
70	0.2972	0.2161	2.67
71	0.2988	0.2208	2.73
72	0.2832	0.2046	2.53
73	0.2788	0.2033	2.51
74	0.2825	0.2062	2.55
75	0.2872	0.2116	2.62
76	0.3021	0.2235	2.76
77	0.2974	0.2198	2.72
78	0.2877	0.2117	2.62
79	0.2936	0.2174	2.69
80	0.2798	0.2037	2.52
81	0.2867	0.2096	2.59
82	0.2885	0.2118	2.62
83	0.2802	0.2043	2.52
84	0.2735	0.1990	2.46
85	0.2711	0.1973	2.44
86	0.2687	0.1945	2.40
87	0.2771	0.2026	2.50
88	0.2767	0.2018	2.49
89	0.2683	0.1958	2.42
90	0.2868	0.2104	2.60
91	0.2812	0.2064	2.55
92	0.2768	0.2016	2.49
93	0.2748	0.2008	2.48
94	0.2880	0.2121	2.62
95	0.2770	0.2031	2.51
96	0.2626	0.1902	2.35
97	0.2783	0.2036	2.52
98	0.2644	0.1924	2.38
99	0.2637	0.1918	2.37
100	0.2804	0.2051	2.53
101	0.2794	0.2056	2.54
102	0.2704	0.1969	2.43
103	0.2530	0.1826	2.25
104	0.2596	0.1884	2.33
105	0.2609	0.1904	2.35
106	0.2665	0.1953	2.41
107	0.2717	0.1990	2.46
108	0.2623	0.1918	2.37
109	0.2670	0.1942	2.40
110	0.2597	0.1891	2.34
111	0.2473	0.1782	2.20
112	0.2741	0.2015	2.49
113	0.2738	0.2012	2.49
114	0.2736	0.2014	2.49
115	0.2714	0.1988	2.46
116	0.2709	0.1990	2.46
117	0.2779	0.2041	2.52
118	0.2573	0.1872	2.31
119	0.2629	0.1913	2.36
120	0.2468	0.1780	2.20
121	0.2706	0.1974	2.44
122	0.2810	0.2066	2.55
123	0.2659	0.1958	2.42
124	0.2740	0.2006	2.48
125	0.2738	0.2013	2.49
126	0.2552	0.1860	2.30
127	0.2431	0.1744	2.15
128	0.2546	0.1844	2.28
129	0.2789	0.2058	2.54
130	0.2611	0.1904	2.35
131	0.2631	0.1936	2.39
132	0.2588	0.1900	2.35
133	0.2461	0.1785	2.21
134	0.2619	0.1919	2.37
135	0.2668	0.1962	2.43
136	0.2442	0.1775	2.19
137	0.2445	0.1777	2.20
138	0.2491	0.1798	2.22
139	0.2579	0.1888	2.33
140	0.2554	0.1866	2.31
141	0.2660	0.1955	2.42
142	0.2446	0.1770	2.19
143	0.2498	0.1816	2.24
144	0.2509	0.1834	2.27
145	0.2498	0.1823	2.25
146	0.2328	0.1683	2.08
147	0.2440	0.1762	2.18
148	0.2474	0.1802	2.23
149	0.2569	0.1893	2.34
150	0.2631	0.1936	2.39
151	0.2427	0.1772	2.19
152	0.2446	0.1786	2.21
153	0.2571	0.1879	2.32
154	0.2348	0.1691	2.09
155	0.2369	0.1707	2.11
156	0.2402	0.1748	2.16
157	0.2405	0.1746	2.16
158	0.2385	0.1731	2.14
159	0.2357	0.1706	2.11
160	0.2387	0.1737	2.15
161	0.2356	0.1722	2.13
162	0.2411	0.1758	2.17
163	0.2414	0.1751	2.16
164	0.2344	0.1697	2.10
165	0.2325	0.1675	2.07
166	0.2237	0.1620	2.00
167	0.2379	0.1731	2.14
168	0.2343	0.1704	2.11
169	0.2451	0.1787	2.21
170	0.2239	0.1615	2.00
171	0.2449	0.1792	2.22
172	0.2426	0.1761	2.18
173	0.2529	0.1868	2.31
174	0.2453	0.1799	2.23
175	0.2406	0.1757	2.17
176	0.2399	0.1737	2.15
177	0.2249	0.1616	2.00
178	0.2353	0.1706	2.11
179	0.2207	0.1592	1.97
180	0.2188	0.1572	1.94
181	0.2282	0.1663	2.06
182	0.2484	0.1821	2.25
183	0.2339	0.1701	2.10
184	0.2429	0.1782	2.20
185	0.2428	0.1776	2.20
186	0.2440	0.1788	2.21
187	0.2443	0.1783	2.20
188	0.2222	0.1593	1.97
189	0.2285	0.1658	2.05
190	0.2254	0.1637	2.02
191	0.2344	0.1710	2.11
192	0.2308	0.1670	2.06
193	0.2274	0.1644	2.03
194	0.2293	0.1671	2.07
195	0.2296	0.1660	2.05
196	0.2370	0.1734	2.14
197	0.2281	0.1651	2.04
198	0.2191	0.1581	1.95
199	0.2229	0.1618	2.00
200	0.2432	0.1789	2.21
