#Epoch	RMSE	MAE	MAPE(%)
1	0.8232	0.7107	8.18
2	0.3483	0.2518	2.90
3	0.4609	0.3766	4.33
4	0.2149	0.1620	1.86
5	0.3409	0.2519	2.90
6	0.2525	0.2154	2.48
7	0.3827	0.3727	4.29
8	0.4303	0.3407	3.92
9	0.2329	0.1723	1.98
10	0.4750	0.4102	4.72
11	0.6998	0.6772	7.79
12	0.9954	0.9783	11.26
13	0.7403	0.7156	8.23
14	0.6268	0.6164	7.09
15	0.5157	0.5003	5.76
16	0.5261	0.5224	6.01
17	0.5418	0.5253	6.05
18	0.5247	0.5103	5.87
19	0.5486	0.5333	6.14
20	0.5129	0.5072	5.84
21	0.1937	0.1785	2.05
22	0.3465	0.2851	3.28
23	0.4688	0.4650	5.35
24	0.2992	0.2883	3.32
25	0.3332	0.3230	3.72
26	0.6754	0.6328	7.28
27	0.2749	0.2452	2.82
28	0.2855	0.2354	2.71
29	0.1685	0.1406	1.62
30	0.1868	0.1645	1.89
31	0.2727	0.2580	2.97
32	0.4318	0.4116	4.74
33	0.4102	0.3529	4.06
34	0.3539	0.3044	3.50
35	0.3587	0.2842	3.27
36	0.3195	0.2628	3.02
37	0.3054	0.2589	2.98
38	0.3348	0.2886	3.32
39	0.3417	0.2943	3.39
40	0.2346	0.1818	2.09
41	0.2805	0.2478	2.85
42	0.3081	0.2871	3.30
43	0.3479	0.3135	3.61
44	0.2592	0.2145	2.47
45	0.3678	0.3441	3.96
46	0.2825	0.2384	2.74
47	0.5186	0.4813	5.54
48	0.2653	0.2180	2.51
49	0.5219	0.4902	5.64
50	0.3448	0.3341	3.84
51	0.1974	0.1791	2.06
52	0.3597	0.3515	4.05
53	0.4173	0.4169	4.80
54	0.1938	0.1847	2.13
55	0.3354	0.3335	3.84
56	0.2531	0.2501	2.88
57	0.3254	0.3218	3.70
58	0.2891	0.2873	3.31
59	0.3272	0.3251	3.74
60	0.3033	0.3025	3.48
61	0.3015	0.3009	3.46
62	0.2453	0.2432	2.80
63	0.1454	0.1440	1.66
64	0.1926	0.1912	2.20
65	0.1869	0.1838	2.12
66	0.2539	0.2466	2.84
67	0.2561	0.2483	2.86
68	0.2612	0.2543	2.93
69	0.1986	0.1875	2.16
70	0.1644	0.1621	1.87
71	0.1788	0.1778	2.05
72	0.1539	0.1488	1.71
73	0.1621	0.1615	1.86
74	0.1743	0.1723	1.98
75	0.0937	0.0926	1.07
76	0.2167	0.2143	2.47
77	0.0909	0.0848	0.98
78	0.2278	0.2204	2.54
79	0.1250	0.1201	1.38
80	0.1459	0.1388	1.60
81	0.2265	0.2232	2.57
82	0.3342	0.3298	3.80
83	0.2551	0.2530	2.91
84	0.2232	0.2211	2.54
85	0.2132	0.2119	2.44
86	0.1843	0.1829	2.10
87	0.2307	0.2290	2.63
88	0.2505	0.2494	2.87
89	0.1634	0.1598	1.84
90	0.2834	0.2826	3.25
91	0.3519	0.3516	4.05
92	0.2412	0.2403	2.76
93	0.3322	0.3305	3.80
94	0.2888	0.2880	3.31
95	0.3125	0.3114	3.58
96	0.3653	0.3645	4.19
97	0.1937	0.1921	2.21
98	0.1706	0.1701	1.96
99	0.3198	0.3179	3.66
100	0.2578	0.2568	2.96
101	0.2501	0.2488	2.86
102	0.2538	0.2529	2.91
103	0.4119	0.4113	4.73
104	0.3670	0.3655	4.21
105	0.1733	0.1714	1.97
106	0.1250	0.1197	1.38
107	0.1276	0.1266	1.46
108	0.1693	0.1662	1.91
109	0.2365	0.2351	2.71
110	0.2022	0.2006	2.31
111	0.3511	0.3503	4.03
112	0.3513	0.3501	4.03
113	0.3565	0.3553	4.09
114	0.3602	0.3595	4.14
115	0.2799	0.2787	3.21
116	0.3481	0.3472	4.00
117	0.3376	0.3363	3.87
118	0.1530	0.1526	1.76
119	0.2739	0.2661	3.06
120	0.3297	0.3278	3.77
121	0.3955	0.3950	4.55
122	0.1937	0.1922	2.21
123	0.2791	0.2769	3.19
124	0.2240	0.2233	2.57
125	0.2667	0.2659	3.06
126	0.3797	0.3787	4.36
127	0.3363	0.3348	3.85
128	0.3305	0.3294	3.79
129	0.0942	0.0940	1.08
130	0.0714	0.0680	0.78
131	0.2705	0.2701	3.11
132	0.1536	0.1517	1.75
133	0.3271	0.3240	3.73
134	0.2911	0.2897	3.33
135	0.3535	0.3525	4.06
136	0.2673	0.2652	3.05
137	0.2201	0.2191	2.52
138	0.2626	0.2613	3.01
139	0.2353	0.2346	2.70
140	0.2912	0.2896	3.33
141	0.3146	0.3135	3.61
142	0.3411	0.3397	3.91
143	0.3011	0.2987	3.44
144	0.0768	0.0751	0.86
145	0.2431	0.2415	2.78
146	0.2596	0.2537	2.92
147	0.3155	0.3133	3.61
148	0.2811	0.2801	3.22
149	0.2852	0.2843	3.27
150	0.2028	0.1998	2.30
151	0.1160	0.1135	1.31
152	0.2209	0.2191	2.52
153	0.2425	0.2394	2.75
154	0.1669	0.1664	1.91
155	0.3300	0.3272	3.77
156	0.2701	0.2679	3.08
157	0.2975	0.2952	3.40
158	0.2833	0.2809	3.23
159	0.3192	0.3178	3.66
160	0.2214	0.2186	2.52
161	0.3421	0.3403	3.92
162	0.2760	0.2747	3.16
163	0.2526	0.2484	2.86
164	0.3006	0.2987	3.44
165	0.2642	0.2615	3.01
166	0.3904	0.3882	4.47
167	0.2780	0.2765	3.18
168	0.3252	0.3235	3.72
169	0.3029	0.3008	3.46
170	0.2734	0.2691	3.10
171	0.3166	0.3141	3.61
172	0.2268	0.2217	2.55
173	0.1724	0.1664	1.91
174	0.2454	0.2435	2.80
175	0.2001	0.2000	2.30
176	0.2538	0.2532	2.91
177	0.2976	0.2902	3.34
178	0.2338	0.2316	2.67
179	0.3610	0.3602	4.14
180	0.2566	0.2558	2.94
181	0.2622	0.2601	2.99
182	0.3009	0.3005	3.46
183	0.2731	0.2707	3.11
184	0.3306	0.3301	3.80
185	0.2577	0.2543	2.93
186	0.1731	0.1726	1.99
187	0.0993	0.0955	1.10
188	0.1860	0.1859	2.14
189	0.2537	0.2537	2.92
190	0.0695	0.0656	0.75
191	0.2493	0.2477	2.85
192	0.3225	0.3218	3.70
193	0.0496	0.0468	0.54
