#Epoch	RMSE	MAE	MAPE(%)
1	0.5364	0.5068	5.71
2	0.4426	0.4112	4.63
3	0.5421	0.5128	5.78
4	0.5016	0.4730	5.33
5	0.4822	0.4539	5.12
6	0.4593	0.4310	4.86
7	0.4346	0.4062	4.58
8	0.4086	0.3798	4.28
9	0.3823	0.3527	3.97
10	0.3555	0.3247	3.66
11	0.3289	0.2964	3.33
12	0.3037	0.2694	3.03
13	0.2807	0.2447	2.75
14	0.2598	0.2228	2.50
15	0.2422	0.2044	2.29
16	0.2284	0.1900	2.12
17	0.2179	0.1790	2.00
18	0.2099	0.1707	1.90
19	0.2037	0.1644	1.83
20	0.1987	0.1596	1.78
21	0.1945	0.1556	1.73
22	0.1912	0.1528	1.70
23	0.1882	0.1503	1.67
24	0.1854	0.1481	1.65
25	0.1828	0.1460	1.62
26	0.1803	0.1441	1.60
27	0.1780	0.1423	1.58
28	0.1759	0.1407	1.56
29	0.1739	0.1392	1.55
30	0.1721	0.1378	1.53
31	0.1704	0.1364	1.52
32	0.1691	0.1357	1.51
33	0.1681	0.1351	1.50
34	0.1666	0.1339	1.49
35	0.1657	0.1334	1.48
36	0.1649	0.1329	1.48
37	0.1637	0.1319	1.47
38	0.1630	0.1313	1.46
39	0.1623	0.1309	1.46
40	0.1614	0.1301	1.45
41	0.1605	0.1293	1.44
42	0.1599	0.1288	1.43
43	0.1589	0.1278	1.42
44	0.1582	0.1272	1.42
45	0.1572	0.1263	1.41
46	0.1562	0.1253	1.39
47	0.1553	0.1244	1.38
48	0.1542	0.1233	1.37
49	0.1531	0.1222	1.36
50	0.1521	0.1212	1.35
51	0.1507	0.1197	1.33
52	0.1496	0.1185	1.32
53	0.1484	0.1173	1.30
54	0.1470	0.1159	1.29
55	0.1457	0.1145	1.27
56	0.1443	0.1130	1.26
57	0.1430	0.1117	1.24
58	0.1415	0.1101	1.22
59	0.1400	0.1083	1.20
60	0.1386	0.1068	1.19
61	0.1371	0.1052	1.17
62	0.1356	0.1035	1.15
63	0.1342	0.1019	1.13
64	0.1328	0.1001	1.11
65	0.1314	0.0985	1.09
66	0.1301	0.0970	1.07
67	0.1287	0.0953	1.05
68	0.1273	0.0935	1.03
69	0.1260	0.0917	1.01
70	0.1247	0.0901	0.99
71	0.1235	0.0884	0.98
72	0.1224	0.0868	0.96
73	0.1213	0.0853	0.94
74	0.1203	0.0838	0.92
75	0.1193	0.0824	0.91
76	0.1184	0.0811	0.89
77	0.1176	0.0798	0.88
78	0.1168	0.0786	0.86
79	0.1161	0.0775	0.85
80	0.1154	0.0763	0.84
81	0.1148	0.0754	0.83
82	0.1143	0.0747	0.82
83	0.1138	0.0740	0.81
84	0.1134	0.0735	0.81
85	0.1130	0.0730	0.80
86	0.1127	0.0726	0.80
87	0.1124	0.0724	0.79
88	0.1122	0.0722	0.79
89	0.1119	0.0722	0.79
90	0.1117	0.0721	0.79
