#Epoch	RMSE	MAE	MAPE(%)
1	2.4691	2.4578	28.28
2	0.0669	0.0490	0.56
3	0.4743	0.4739	5.45
4	0.3797	0.3745	4.31
5	0.3636	0.3578	4.12
6	0.3782	0.3740	4.30
7	0.3894	0.3864	4.45
8	0.4483	0.4473	5.15
9	0.4373	0.4363	5.02
10	0.3983	0.3974	4.57
11	0.3682	0.3673	4.23
12	0.2723	0.2670	3.07
13	0.2998	0.2954	3.40
14	0.2820	0.2784	3.20
15	0.2488	0.2449	2.82
16	0.2139	0.2093	2.41
17	0.1796	0.1743	2.01
18	0.1506	0.1449	1.67
19	0.1238	0.1179	1.36
20	0.1022	0.0963	1.11
21	0.0828	0.0769	0.88
22	0.0664	0.0603	0.69
23	0.0534	0.0470	0.54
24	0.0409	0.0337	0.39
25	0.0298	0.0245	0.28
26	0.0216	0.0191	0.22
27	0.0198	0.0179	0.21
28	0.0250	0.0207	0.24
29	0.0342	0.0287	0.33
30	0.0438	0.0395	0.45
31	0.0534	0.0500	0.57
32	0.0619	0.0589	0.68
33	0.0700	0.0672	0.77
34	0.0770	0.0745	0.86
35	0.0828	0.0804	0.93
36	0.0874	0.0851	0.98
37	0.0906	0.0884	1.02
38	0.0914	0.0892	1.03
39	0.0922	0.0899	1.03
40	0.0908	0.0885	1.02
41	0.0885	0.0860	0.99
42	0.0850	0.0824	0.95
43	0.0807	0.0779	0.90
44	0.0759	0.0728	0.84
45	0.0714	0.0680	0.78
46	0.0667	0.0631	0.73
47	0.0634	0.0594	0.68
48	0.0597	0.0554	0.64
49	0.0579	0.0533	0.61
50	0.0555	0.0506	0.58
51	0.0527	0.0474	0.55
52	0.0537	0.0483	0.56
53	0.0523	0.0466	0.54
54	0.0498	0.0437	0.50
55	0.0525	0.0463	0.53
56	0.0517	0.0453	0.52
57	0.0494	0.0426	0.49
58	0.0521	0.0454	0.52
59	0.0511	0.0442	0.51
60	0.0490	0.0416	0.48
61	0.0506	0.0432	0.50
