#Epoch	RMSE	MAE	MAPE(%)
1	0.6248	0.4913	6.16
2	0.6786	0.5348	6.69
3	0.7501	0.6124	7.66
4	0.6962	0.5534	6.90
5	0.7106	0.5695	7.10
6	0.6786	0.5586	6.99
7	0.6882	0.5668	7.09
8	0.6619	0.5446	6.81
9	0.6379	0.5200	6.49
10	0.6941	0.5651	7.06
11	0.7000	0.5698	7.11
12	0.6660	0.5765	7.25
13	0.7543	0.6380	8.01
14	0.7479	0.6278	7.88
15	0.6704	0.5522	6.94
16	0.6801	0.5577	6.97
17	0.5303	0.4104	5.12
18	0.5219	0.4188	5.24
19	0.5046	0.3842	4.80
20	0.4659	0.3508	4.37
21	0.4732	0.3888	4.88
22	0.4614	0.3542	4.41
23	0.3909	0.3189	4.00
24	0.4048	0.3192	3.98
25	0.3034	0.2472	3.10
26	0.3426	0.2372	2.92
27	0.3402	0.2436	3.01
28	0.3692	0.2605	3.21
29	0.3115	0.2087	2.57
30	0.3436	0.2596	3.22
31	0.3369	0.2620	3.27
32	0.4482	0.3583	4.48
33	0.2463	0.1426	1.76
34	0.2887	0.1879	2.32
35	0.3251	0.2324	2.88
36	0.4543	0.3526	4.39
37	0.2993	0.2084	2.58
38	0.4438	0.3230	4.00
39	0.3027	0.2294	2.85
40	0.3025	0.2212	2.75
41	0.3389	0.2526	3.13
42	0.3915	0.3097	3.86
43	0.3210	0.2406	2.99
44	0.4369	0.3486	4.35
45	0.2948	0.2093	2.58
46	0.4008	0.2935	3.63
47	0.2637	0.1734	2.15
48	0.3966	0.2783	3.43
49	0.2465	0.1525	1.88
50	0.3238	0.2201	2.71
51	0.2767	0.1875	2.32
52	0.3297	0.2320	2.86
53	0.2950	0.2308	2.88
54	0.2727	0.2003	2.50
55	0.3196	0.2308	2.86
56	0.2676	0.1977	2.45
57	0.3080	0.2396	2.99
58	0.2958	0.2146	2.66
59	0.3043	0.2482	3.11
60	0.2900	0.2243	2.79
61	0.2575	0.1580	1.94
62	0.3009	0.2183	2.70
63	0.2745	0.1861	2.30
64	0.2636	0.1914	2.37
65	0.2605	0.1427	1.74
66	0.3530	0.2875	3.60
67	0.2835	0.2236	2.80
68	0.2422	0.1729	2.15
69	0.3561	0.2434	3.01
70	0.3186	0.2618	3.28
71	0.2648	0.1969	2.45
72	0.3090	0.2294	2.85
73	0.3071	0.2326	2.89
74	0.3398	0.2585	3.21
75	0.2977	0.2277	2.83
76	0.3370	0.2570	3.19
77	0.2710	0.1839	2.27
