#Epoch	RMSE	MAE	MAPE(%)
1	0.4816	0.2300	1.90
2	0.4625	0.2616	2.19
3	0.4584	0.2512	2.10
4	0.4497	0.2518	2.11
5	0.4406	0.2444	2.05
6	0.4283	0.2351	1.97
7	0.4126	0.2210	1.84
8	0.3933	0.2020	1.68
9	0.3728	0.1807	1.49
10	0.3552	0.1641	1.35
11	0.3459	0.1553	1.27
12	0.3340	0.1486	1.22
13	0.3265	0.1438	1.18
14	0.3184	0.1400	1.15
15	0.3088	0.1353	1.11
16	0.3010	0.1322	1.08
17	0.2927	0.1278	1.05
18	0.2857	0.1239	1.01
19	0.2804	0.1214	0.99
20	0.2747	0.1182	0.97
21	0.2685	0.1147	0.94
22	0.2632	0.1120	0.92
23	0.2588	0.1102	0.90
24	0.2566	0.1097	0.90
25	0.2542	0.1092	0.90
26	0.2510	0.1081	0.89
27	0.2488	0.1077	0.89
28	0.2466	0.1073	0.88
29	0.2450	0.1072	0.88
30	0.2433	0.1071	0.88
31	0.2413	0.1063	0.88
32	0.2397	0.1061	0.88
33	0.2386	0.1063	0.88
34	0.2400	0.1085	0.90
35	0.2392	0.1099	0.91
36	0.2360	0.1080	0.90
37	0.2352	0.1083	0.90
38	0.2348	0.1089	0.90
39	0.2343	0.1098	0.91
40	0.2340	0.1106	0.92
41	0.2340	0.1121	0.93
42	0.2337	0.1132	0.94
43	0.2340	0.1144	0.95
44	0.2341	0.1161	0.97
45	0.2343	0.1173	0.98
46	0.2339	0.1178	0.99
47	0.2338	0.1184	0.99
48	0.2333	0.1189	1.00
49	0.2328	0.1194	1.00
50	0.2327	0.1203	1.01
51	0.2328	0.1211	1.02
52	0.2327	0.1218	1.02
53	0.2328	0.1224	1.03
54	0.2326	0.1232	1.04
55	0.2326	0.1238	1.04
56	0.2321	0.1236	1.04
57	0.2321	0.1247	1.05
58	0.2320	0.1250	1.05
59	0.2319	0.1253	1.05
60	0.2318	0.1260	1.06
61	0.2316	0.1260	1.06
62	0.2309	0.1261	1.06
63	0.2301	0.1257	1.06
64	0.2291	0.1248	1.05
65	0.2283	0.1248	1.05
66	0.2280	0.1243	1.05
67	0.2277	0.1250	1.05
68	0.2269	0.1244	1.05
69	0.2266	0.1245	1.05
70	0.2260	0.1241	1.05
71	0.2258	0.1246	1.05
72	0.2261	0.1249	1.05
73	0.2262	0.1259	1.06
74	0.2259	0.1258	1.06
75	0.2257	0.1258	1.06
76	0.2259	0.1264	1.07
77	0.2256	0.1264	1.07
78	0.2253	0.1264	1.07
79	0.2253	0.1270	1.07
80	0.2250	0.1267	1.07
81	0.2249	0.1271	1.07
82	0.2247	0.1270	1.07
83	0.2253	0.1272	1.08
84	0.2259	0.1284	1.09
85	0.2275	0.1299	1.10
86	0.2281	0.1305	1.10
87	0.2280	0.1312	1.11
88	0.2265	0.1292	1.09
89	0.2257	0.1291	1.09
90	0.2240	0.1268	1.07
91	0.2232	0.1264	1.07
92	0.2218	0.1250	1.06
93	0.2208	0.1242	1.05
94	0.2208	0.1243	1.05
95	0.2207	0.1243	1.05
96	0.2205	0.1248	1.06
97	0.2202	0.1243	1.05
98	0.2206	0.1253	1.06
99	0.2195	0.1244	1.05
100	0.2197	0.1246	1.05
101	0.2190	0.1243	1.05
102	0.2189	0.1241	1.05
103	0.2192	0.1249	1.06
104	0.2186	0.1247	1.06
105	0.2187	0.1245	1.05
106	0.2181	0.1246	1.06
107	0.2179	0.1241	1.05
108	0.2175	0.1244	1.05
109	0.2172	0.1237	1.05
110	0.2166	0.1238	1.05
111	0.2163	0.1231	1.04
112	0.2161	0.1236	1.05
113	0.2157	0.1227	1.04
114	0.2155	0.1233	1.04
115	0.2154	0.1228	1.04
116	0.2151	0.1232	1.04
117	0.2158	0.1236	1.05
118	0.2154	0.1239	1.05
119	0.2146	0.1227	1.04
120	0.2145	0.1233	1.04
121	0.2138	0.1223	1.04
122	0.2142	0.1228	1.04
123	0.2140	0.1231	1.04
124	0.2133	0.1224	1.04
125	0.2129	0.1220	1.03
126	0.2126	0.1216	1.03
127	0.2128	0.1223	1.04
128	0.2123	0.1218	1.03
129	0.2119	0.1213	1.03
130	0.2121	0.1220	1.03
131	0.2117	0.1216	1.03
132	0.2109	0.1208	1.02
133	0.2112	0.1210	1.03
134	0.2111	0.1215	1.03
135	0.2110	0.1213	1.03
136	0.2103	0.1207	1.02
137	0.2102	0.1204	1.02
138	0.2103	0.1210	1.03
139	0.2097	0.1205	1.02
140	0.2096	0.1201	1.02
141	0.2094	0.1205	1.02
142	0.2089	0.1198	1.02
143	0.2086	0.1197	1.01
144	0.2085	0.1192	1.01
145	0.2086	0.1201	1.02
146	0.2080	0.1193	1.01
147	0.2075	0.1188	1.01
148	0.2077	0.1187	1.01
149	0.2075	0.1193	1.01
150	0.2073	0.1189	1.01
151	0.2066	0.1183	1.00
152	0.2067	0.1182	1.00
