#Epoch	RMSE	MAE	MAPE(%)
1	0.3529	0.3496	0.44
2	0.0712	0.0537	0.07
3	0.0553	0.0521	0.07
4	0.0581	0.0508	0.06
5	0.1157	0.1117	0.14
6	0.1007	0.0971	0.12
7	0.1189	0.1153	0.15
8	0.1635	0.1618	0.20
9	0.2395	0.2387	0.30
10	0.2137	0.2127	0.27
11	0.1731	0.1719	0.22
12	0.1441	0.1423	0.18
13	0.1737	0.1730	0.22
14	0.1902	0.1899	0.24
15	0.1768	0.1763	0.22
16	0.2267	0.2263	0.29
17	0.2159	0.2151	0.27
18	0.2352	0.2344	0.30
19	0.1769	0.1764	0.22
20	0.2149	0.2142	0.27
21	0.1775	0.1768	0.22
22	0.1916	0.1912	0.24
23	0.1823	0.1820	0.23
24	0.1676	0.1672	0.21
25	0.2061	0.2055	0.26
26	0.2019	0.2009	0.25
27	0.1569	0.1562	0.20
28	0.1540	0.1534	0.19
29	0.2088	0.2082	0.26
30	0.1986	0.1975	0.25
31	0.1807	0.1794	0.23
32	0.1852	0.1846	0.23
33	0.1535	0.1523	0.19
34	0.1623	0.1609	0.20
35	0.2116	0.2105	0.27
36	0.2212	0.2197	0.28
37	0.1581	0.1569	0.20
38	0.1430	0.1414	0.18
39	0.1513	0.1495	0.19
40	0.1672	0.1659	0.21
41	0.1800	0.1783	0.22
42	0.1912	0.1894	0.24
43	0.1610	0.1592	0.20
44	0.1866	0.1844	0.23
45	0.1698	0.1680	0.21
46	0.2011	0.1990	0.25
47	0.2042	0.2019	0.25
48	0.1738	0.1719	0.22
49	0.1492	0.1466	0.19
50	0.1558	0.1533	0.19
51	0.1326	0.1297	0.16
52	0.1955	0.1931	0.24
53	0.1674	0.1652	0.21
54	0.1573	0.1550	0.20
55	0.2081	0.2060	0.26
56	0.1795	0.1761	0.22
57	0.1927	0.1906	0.24
58	0.1740	0.1709	0.22
59	0.2043	0.2012	0.25
60	0.2121	0.2088	0.26
61	0.2155	0.2122	0.27
62	0.1817	0.1777	0.22
63	0.1488	0.1457	0.18
64	0.2257	0.2218	0.28
65	0.2077	0.2040	0.26
66	0.1668	0.1631	0.21
67	0.1709	0.1673	0.21
68	0.1903	0.1866	0.24
69	0.1795	0.1742	0.22
70	0.2069	0.2028	0.26
71	0.1795	0.1749	0.22
72	0.1805	0.1765	0.22
73	0.1908	0.1859	0.23
74	0.2113	0.2061	0.26
75	0.1737	0.1689	0.21
76	0.2355	0.2309	0.29
77	0.2162	0.2112	0.27
78	0.1788	0.1733	0.22
79	0.2063	0.2007	0.25
80	0.2025	0.1964	0.25
81	0.1891	0.1820	0.23
82	0.1671	0.1602	0.20
83	0.1657	0.1580	0.20
84	0.1846	0.1766	0.22
85	0.1567	0.1490	0.19
86	0.1620	0.1537	0.19
87	0.1855	0.1770	0.22
88	0.1963	0.1879	0.24
89	0.1874	0.1788	0.23
90	0.1879	0.1791	0.23
91	0.1532	0.1428	0.18
92	0.1753	0.1656	0.21
93	0.1685	0.1572	0.20
94	0.1720	0.1613	0.20
95	0.1442	0.1329	0.17
96	0.1748	0.1658	0.21
97	0.1511	0.1421	0.18
98	0.1752	0.1661	0.21
99	0.1714	0.1629	0.21
100	0.1328	0.1232	0.16
101	0.1314	0.1217	0.15
102	0.1364	0.1273	0.16
103	0.1622	0.1544	0.19
104	0.1311	0.1228	0.15
105	0.1604	0.1530	0.19
106	0.1555	0.1490	0.19
107	0.1595	0.1525	0.19
108	0.1740	0.1683	0.21
109	0.1514	0.1454	0.18
110	0.1393	0.1334	0.17
111	0.1514	0.1463	0.18
112	0.1411	0.1361	0.17
113	0.1356	0.1301	0.16
114	0.1428	0.1373	0.17
115	0.1400	0.1347	0.17
