#Epoch	RMSE	MAE	MAPE(%)
1	0.2631	0.2049	1.76
2	0.2456	0.1782	1.52
3	0.2287	0.1557	1.32
4	0.2119	0.1346	1.14
5	0.1952	0.1195	1.01
6	0.1852	0.1096	0.93
7	0.1802	0.1113	0.94
8	0.1751	0.1082	0.92
9	0.1717	0.1057	0.89
10	0.1685	0.1042	0.88
11	0.1633	0.0999	0.85
12	0.1633	0.0981	0.83
13	0.1561	0.0943	0.80
14	0.1521	0.0893	0.75
15	0.1496	0.0854	0.72
16	0.1518	0.0860	0.72
17	0.1480	0.0862	0.73
18	0.1473	0.0822	0.69
19	0.1450	0.0796	0.67
20	0.1430	0.0792	0.67
21	0.1425	0.0771	0.65
22	0.1396	0.0753	0.63
23	0.1357	0.0729	0.61
24	0.1356	0.0722	0.61
25	0.1334	0.0704	0.59
26	0.1314	0.0695	0.58
27	0.1337	0.0705	0.59
28	0.1290	0.0672	0.56
29	0.1284	0.0669	0.56
30	0.1229	0.0650	0.55
31	0.1238	0.0651	0.55
32	0.1286	0.0670	0.56
33	0.1271	0.0666	0.56
34	0.1221	0.0654	0.55
35	0.1227	0.0648	0.54
36	0.1223	0.0651	0.55
37	0.1239	0.0658	0.55
38	0.1240	0.0650	0.55
39	0.1262	0.0664	0.56
40	0.1215	0.0656	0.55
41	0.1204	0.0653	0.55
42	0.1197	0.0645	0.54
43	0.1156	0.0667	0.56
44	0.1133	0.0673	0.57
45	0.1130	0.0649	0.55
46	0.1135	0.0641	0.54
47	0.1136	0.0646	0.54
48	0.1161	0.0636	0.53
49	0.1158	0.0650	0.55
50	0.1146	0.0642	0.54
51	0.1147	0.0650	0.55
52	0.1174	0.0631	0.53
53	0.1179	0.0629	0.53
54	0.1170	0.0635	0.53
55	0.1134	0.0632	0.53
56	0.1123	0.0650	0.55
57	0.1129	0.0626	0.53
58	0.1149	0.0637	0.54
59	0.1137	0.0665	0.56
60	0.1115	0.0619	0.52
61	0.1151	0.0619	0.52
62	0.1168	0.0635	0.53
63	0.1161	0.0648	0.55
64	0.1152	0.0643	0.54
65	0.1133	0.0665	0.56
66	0.1083	0.0663	0.56
67	0.1080	0.0629	0.53
68	0.1093	0.0652	0.55
69	0.1078	0.0617	0.52
70	0.1095	0.0635	0.54
71	0.1077	0.0619	0.52
72	0.1056	0.0637	0.54
73	0.1079	0.0606	0.51
74	0.1081	0.0617	0.52
75	0.1069	0.0609	0.51
76	0.1061	0.0598	0.50
77	0.1065	0.0619	0.52
78	0.1063	0.0580	0.49
79	0.1076	0.0612	0.52
80	0.1040	0.0606	0.51
81	0.1052	0.0598	0.50
82	0.1049	0.0593	0.50
83	0.1073	0.0580	0.49
84	0.1076	0.0583	0.49
85	0.1076	0.0595	0.50
86	0.1081	0.0596	0.50
87	0.1082	0.0590	0.50
88	0.1068	0.0650	0.55
89	0.1031	0.0593	0.50
90	0.1034	0.0598	0.51
91	0.1035	0.0584	0.49
92	0.1028	0.0603	0.51
93	0.1023	0.0564	0.47
94	0.1044	0.0591	0.50
95	0.1050	0.0560	0.47
96	0.1075	0.0589	0.50
97	0.1030	0.0603	0.51
98	0.1007	0.0562	0.47
99	0.1017	0.0602	0.51
100	0.1010	0.0575	0.49
101	0.1004	0.0564	0.48
102	0.1014	0.0563	0.47
103	0.1014	0.0594	0.50
104	0.1023	0.0552	0.46
105	0.1029	0.0595	0.50
106	0.1032	0.0557	0.47
107	0.1033	0.0578	0.49
108	0.0999	0.0576	0.49
109	0.1013	0.0564	0.48
110	0.1018	0.0615	0.52
111	0.0999	0.0555	0.47
112	0.1006	0.0613	0.52
113	0.0992	0.0571	0.48
114	0.0988	0.0561	0.47
115	0.0971	0.0568	0.48
116	0.0962	0.0563	0.48
117	0.0957	0.0542	0.46
118	0.0965	0.0564	0.48
119	0.0963	0.0574	0.49
120	0.0944	0.0527	0.44
121	0.0958	0.0541	0.46
122	0.0968	0.0541	0.46
123	0.0952	0.0540	0.46
124	0.0956	0.0540	0.46
125	0.0955	0.0534	0.45
126	0.0985	0.0529	0.45
127	0.0982	0.0528	0.44
128	0.0975	0.0556	0.47
129	0.0945	0.0528	0.45
130	0.0962	0.0562	0.48
131	0.0931	0.0540	0.46
132	0.0944	0.0532	0.45
133	0.0940	0.0535	0.45
134	0.0961	0.0578	0.49
135	0.0938	0.0532	0.45
136	0.0936	0.0568	0.48
137	0.0926	0.0508	0.43
138	0.0945	0.0537	0.45
139	0.0946	0.0528	0.45
140	0.0964	0.0512	0.43
141	0.0979	0.0538	0.45
142	0.0967	0.0528	0.44
143	0.0943	0.0523	0.44
144	0.0953	0.0533	0.45
145	0.0935	0.0553	0.47
146	0.0910	0.0509	0.43
147	0.0925	0.0541	0.46
148	0.0918	0.0531	0.45
149	0.0921	0.0501	0.42
150	0.0933	0.0563	0.48
151	0.0915	0.0508	0.43
152	0.0944	0.0507	0.43
153	0.0936	0.0535	0.45
154	0.0935	0.0519	0.44
155	0.0977	0.0524	0.44
156	0.0976	0.0540	0.45
157	0.0956	0.0548	0.46
158	0.0936	0.0524	0.44
159	0.0947	0.0525	0.44
160	0.0943	0.0535	0.45
161	0.0918	0.0520	0.44
162	0.0935	0.0515	0.43
163	0.0937	0.0522	0.44
164	0.0921	0.0538	0.46
165	0.0919	0.0501	0.42
166	0.0937	0.0582	0.49
167	0.0913	0.0502	0.42
168	0.0920	0.0506	0.43
169	0.0944	0.0530	0.45
170	0.0920	0.0519	0.44
171	0.0910	0.0543	0.46
172	0.0909	0.0502	0.42
173	0.0897	0.0504	0.43
174	0.0890	0.0525	0.44
175	0.0909	0.0557	0.47
176	0.0868	0.0495	0.42
177	0.0882	0.0484	0.41
178	0.0895	0.0489	0.41
179	0.0907	0.0500	0.42
180	0.0893	0.0497	0.42
181	0.0891	0.0504	0.43
182	0.0924	0.0495	0.42
183	0.0930	0.0509	0.43
184	0.0938	0.0516	0.43
185	0.0913	0.0532	0.45
186	0.0903	0.0488	0.41
187	0.0938	0.0514	0.43
188	0.0933	0.0524	0.44
189	0.0895	0.0564	0.48
190	0.0901	0.0499	0.42
191	0.0890	0.0519	0.44
192	0.0892	0.0524	0.44
193	0.0861	0.0492	0.42
194	0.0875	0.0477	0.40
195	0.0910	0.0526	0.45
196	0.0920	0.0499	0.42
197	0.0897	0.0527	0.45
198	0.0892	0.0489	0.41
199	0.0911	0.0526	0.45
200	0.0881	0.0483	0.41
