#Epoch	RMSE	MAE	MAPE(%)
1	0.0710	0.0602	0.43
2	0.0287	0.0277	0.20
3	0.0119	0.0099	0.07
4	0.0185	0.0140	0.10
5	0.0371	0.0353	0.25
6	0.0143	0.0126	0.09
7	0.0088	0.0076	0.05
8	0.0192	0.0182	0.13
9	0.0089	0.0076	0.05
10	0.0263	0.0257	0.18
11	0.0178	0.0167	0.12
12	0.0309	0.0292	0.21
13	0.0243	0.0235	0.17
14	0.0183	0.0173	0.12
15	0.0178	0.0173	0.12
16	0.0095	0.0081	0.06
17	0.0045	0.0040	0.03
18	0.0078	0.0062	0.04
19	0.0077	0.0057	0.04
20	0.0279	0.0276	0.20
21	0.0207	0.0203	0.14
22	0.0175	0.0172	0.12
23	0.0046	0.0044	0.03
24	0.0051	0.0040	0.03
25	0.0144	0.0130	0.09
26	0.0166	0.0159	0.11
27	0.0035	0.0031	0.02
28	0.0214	0.0211	0.15
29	0.0042	0.0030	0.02
30	0.0188	0.0185	0.13
31	0.0052	0.0043	0.03
32	0.0168	0.0163	0.12
33	0.0028	0.0024	0.02
34	0.0215	0.0211	0.15
35	0.0044	0.0031	0.02
36	0.0287	0.0277	0.20
37	0.0055	0.0052	0.04
38	0.0171	0.0163	0.12
39	0.0027	0.0026	0.02
40	0.0232	0.0231	0.16
41	0.0027	0.0022	0.02
42	0.0346	0.0344	0.24
43	0.0074	0.0070	0.05
44	0.0253	0.0250	0.18
45	0.0064	0.0061	0.04
46	0.0271	0.0270	0.19
47	0.0033	0.0029	0.02
48	0.0222	0.0219	0.15
49	0.0085	0.0067	0.05
50	0.0077	0.0070	0.05
51	0.0083	0.0071	0.05
52	0.0070	0.0060	0.04
53	0.0139	0.0136	0.10
54	0.0057	0.0055	0.04
55	0.0068	0.0061	0.04
56	0.0043	0.0028	0.02
57	0.0077	0.0076	0.05
58	0.0106	0.0105	0.07
59	0.0225	0.0224	0.16
60	0.0153	0.0152	0.11
61	0.0045	0.0037	0.03
62	0.0048	0.0042	0.03
63	0.0098	0.0093	0.07
64	0.0097	0.0093	0.07
65	0.0080	0.0076	0.05
66	0.0101	0.0098	0.07
67	0.0063	0.0056	0.04
68	0.0024	0.0021	0.01
69	0.0033	0.0033	0.02
70	0.0014	0.0014	0.01
71	0.0145	0.0143	0.10
72	0.0177	0.0176	0.12
73	0.0161	0.0159	0.11
74	0.0062	0.0061	0.04
75	0.0036	0.0031	0.02
76	0.0116	0.0112	0.08
77	0.0082	0.0077	0.05
78	0.0123	0.0120	0.08
79	0.0050	0.0041	0.03
80	0.0293	0.0290	0.21
81	0.0030	0.0024	0.02
82	0.0295	0.0292	0.21
83	0.0095	0.0091	0.06
84	0.0287	0.0286	0.20
85	0.0037	0.0032	0.02
86	0.0170	0.0168	0.12
87	0.0090	0.0078	0.06
88	0.0171	0.0167	0.12
89	0.0041	0.0036	0.03
90	0.0190	0.0188	0.13
91	0.0132	0.0130	0.09
92	0.0173	0.0170	0.12
93	0.0110	0.0107	0.08
94	0.0216	0.0210	0.15
95	0.0080	0.0073	0.05
96	0.0185	0.0174	0.12
97	0.0081	0.0071	0.05
98	0.0224	0.0216	0.15
99	0.0085	0.0073	0.05
100	0.0144	0.0135	0.10
101	0.0039	0.0036	0.03
102	0.0184	0.0176	0.12
103	0.0056	0.0052	0.04
104	0.0114	0.0102	0.07
105	0.0050	0.0045	0.03
106	0.0187	0.0177	0.13
107	0.0054	0.0039	0.03
108	0.0267	0.0259	0.18
109	0.0052	0.0051	0.04
110	0.0254	0.0248	0.18
111	0.0103	0.0090	0.06
112	0.0125	0.0111	0.08
113	0.0094	0.0081	0.06
114	0.0174	0.0161	0.11
115	0.0074	0.0064	0.05
116	0.0138	0.0115	0.08
117	0.0055	0.0049	0.03
118	0.0051	0.0043	0.03
119	0.0098	0.0085	0.06
