#Epoch	RMSE	MAE	MAPE(%)
1	1.3480	1.1194	19.68
2	1.0142	0.7952	13.60
3	0.9715	0.7629	12.90
4	1.0648	0.8559	14.50
5	1.0331	0.8266	13.96
6	1.0510	0.8444	14.30
7	0.9902	0.7798	13.07
8	1.0154	0.8046	13.49
9	1.2241	1.0183	17.24
10	1.9402	1.8177	31.87
11	1.8739	1.7468	30.58
12	2.0545	1.9404	34.14
13	1.1625	0.9379	16.01
14	1.7110	1.5706	27.36
15	1.9737	1.8503	32.46
16	1.3383	1.1353	19.47
17	1.5709	1.3991	24.21
18	0.9615	0.7697	13.17
19	1.1952	0.9888	16.74
20	1.1891	0.9811	16.55
21	0.5688	0.4047	7.00
22	0.8788	0.6729	11.22
23	1.0822	1.0049	17.93
24	1.5807	1.5268	27.33
25	1.3856	1.2954	22.79
26	1.2816	1.0836	18.44
27	1.7645	1.6632	29.27
28	2.2440	2.1457	37.94
29	2.2450	2.1458	37.92
30	2.1929	2.0872	36.81
31	1.2705	1.0555	17.86
32	1.6899	1.5848	27.83
33	1.6298	1.4830	25.75
34	2.5152	2.4199	42.88
35	2.2808	2.1759	38.42
36	2.0694	1.9550	34.37
37	1.6219	1.4743	25.58
38	1.2297	1.0292	17.44
39	1.4351	1.2657	21.76
40	1.0420	0.8186	13.65
41	1.4715	1.2989	22.38
42	1.2668	1.0746	18.30
43	1.4894	1.3378	23.12
44	1.3409	1.1648	19.94
45	1.3816	1.2149	20.87
46	1.3695	1.2007	20.60
47	1.3365	1.1642	19.94
48	1.3252	1.1529	19.74
49	1.3190	1.1486	19.67
50	1.2318	1.0482	17.85
51	1.3271	1.1605	19.90
52	1.2270	1.0471	17.84
53	1.2636	1.0932	18.69
54	1.2608	1.0929	18.70
55	1.2111	1.0336	17.61
56	1.1477	0.9513	16.09
57	1.1710	0.9821	16.65
58	1.1660	0.9654	16.31
59	1.2431	1.0517	17.90
60	1.2441	1.0556	17.95
61	1.1729	0.9717	16.43
62	1.4937	1.3388	23.12
63	1.2732	1.0974	18.74
64	1.2996	1.1339	19.43
65	1.2073	1.0135	17.23
66	1.1689	0.9740	16.50
67	1.1066	0.8944	15.03
68	1.0615	0.8352	13.94
69	1.1059	0.8980	15.13
70	1.0654	0.8477	14.18
71	1.1484	0.9509	16.07
72	1.1751	0.9795	16.58
73	1.1054	0.8766	14.72
74	1.1707	0.9564	16.17
75	1.1335	0.9505	16.13
76	1.0181	0.7906	13.14
77	0.9497	0.7077	11.98
78	1.3984	1.2422	21.40
79	1.2981	1.0998	18.69
80	1.3368	1.1702	20.08
81	1.3031	1.1172	19.06
82	1.2132	1.0133	17.16
83	1.6049	1.4556	25.28
84	1.3625	1.1913	20.42
85	1.1671	0.9670	16.36
86	1.3886	1.2265	21.10
87	1.1611	0.9674	16.38
88	1.3470	1.1878	20.42
