#Epoch	RMSE	MAE	MAPE(%)
1	4.7473	4.7396	27.88
2	1.1759	1.1742	6.91
3	0.6591	0.6532	3.84
4	0.3916	0.3913	2.30
5	0.1944	0.1942	1.14
6	0.0703	0.0698	0.41
7	0.0509	0.0504	0.30
8	0.0980	0.0978	0.58
9	0.1311	0.1309	0.77
10	0.1485	0.1483	0.87
11	0.1353	0.1352	0.80
12	0.1781	0.1775	1.04
13	0.1634	0.1632	0.96
14	0.1556	0.1555	0.91
15	0.1476	0.1474	0.87
16	0.1388	0.1386	0.82
17	0.1274	0.1272	0.75
18	0.1171	0.1169	0.69
19	0.1053	0.1050	0.62
20	0.0922	0.0919	0.54
21	0.0786	0.0783	0.46
22	0.0647	0.0643	0.38
23	0.0505	0.0501	0.29
24	0.0366	0.0360	0.21
25	0.0231	0.0222	0.13
26	0.0111	0.0090	0.05
27	0.0076	0.0069	0.04
28	0.0167	0.0151	0.09
29	0.0269	0.0259	0.15
30	0.0365	0.0357	0.21
31	0.0458	0.0451	0.27
32	0.0531	0.0526	0.31
33	0.0595	0.0590	0.35
34	0.0636	0.0631	0.37
35	0.0671	0.0666	0.39
36	0.0684	0.0679	0.40
37	0.0688	0.0683	0.40
38	0.0675	0.0671	0.39
39	0.0657	0.0652	0.38
40	0.0621	0.0617	0.36
41	0.0578	0.0574	0.34
42	0.0528	0.0524	0.31
43	0.0472	0.0468	0.28
44	0.0241	0.0237	0.14
45	0.0385	0.0381	0.22
46	0.0091	0.0089	0.05
47	0.0317	0.0315	0.19
48	0.0083	0.0081	0.05
49	0.0096	0.0094	0.06
50	0.0021	0.0019	0.01
51	0.0041	0.0041	0.02
52	0.0089	0.0089	0.05
53	0.0126	0.0126	0.07
54	0.0170	0.0169	0.10
55	0.0218	0.0216	0.13
56	0.0214	0.0211	0.12
57	0.0259	0.0256	0.15
58	0.0289	0.0284	0.17
59	0.0261	0.0256	0.15
60	0.0285	0.0278	0.16
61	0.0335	0.0327	0.19
62	0.0316	0.0306	0.18
63	0.0256	0.0245	0.14
64	0.0327	0.0315	0.19
65	0.0228	0.0215	0.13
66	0.0247	0.0233	0.14
67	0.0254	0.0240	0.14
