#Epoch	RMSE	MAE	MAPE(%)
1	0.3811	0.2057	1.72
2	0.3849	0.1807	1.49
3	0.3875	0.1925	1.59
4	0.3885	0.2079	1.73
5	0.3946	0.2265	1.90
6	0.3916	0.2250	1.88
7	0.3583	0.1840	1.53
8	0.3301	0.1576	1.30
9	0.3155	0.1469	1.21
10	0.3064	0.1410	1.16
11	0.3043	0.1410	1.16
12	0.3015	0.1403	1.16
13	0.3048	0.1471	1.21
14	0.3012	0.1480	1.22
15	0.3056	0.1536	1.27
16	0.3103	0.1590	1.32
17	0.3039	0.1538	1.28
18	0.3004	0.1526	1.27
19	0.2961	0.1494	1.24
20	0.2868	0.1391	1.15
21	0.2841	0.1369	1.13
22	0.2772	0.1335	1.10
23	0.2878	0.1497	1.25
24	0.2840	0.1446	1.20
25	0.2790	0.1370	1.14
26	0.2906	0.1513	1.26
27	0.2755	0.1384	1.15
28	0.2711	0.1356	1.13
29	0.2698	0.1330	1.10
30	0.2645	0.1285	1.07
31	0.2618	0.1259	1.04
32	0.2684	0.1331	1.11
33	0.2694	0.1380	1.15
34	0.2761	0.1449	1.21
35	0.2649	0.1342	1.12
36	0.2580	0.1282	1.07
37	0.2600	0.1246	1.03
38	0.2581	0.1287	1.07
39	0.2593	0.1298	1.08
40	0.2634	0.1375	1.15
41	0.2664	0.1420	1.19
42	0.2659	0.1422	1.19
43	0.2686	0.1471	1.23
44	0.2552	0.1329	1.11
45	0.2521	0.1284	1.07
46	0.2475	0.1227	1.02
47	0.2451	0.1224	1.02
48	0.2416	0.1209	1.01
49	0.2477	0.1230	1.02
50	0.2482	0.1280	1.07
51	0.2491	0.1268	1.06
52	0.2393	0.1173	0.98
53	0.2410	0.1199	1.00
54	0.2445	0.1264	1.06
55	0.2566	0.1350	1.13
56	0.2571	0.1423	1.20
57	0.2491	0.1307	1.09
58	0.2442	0.1265	1.06
59	0.2434	0.1249	1.04
60	0.2460	0.1258	1.05
61	0.2465	0.1290	1.08
62	0.2386	0.1236	1.04
63	0.2362	0.1202	1.01
64	0.2365	0.1210	1.01
65	0.2404	0.1281	1.08
66	0.2483	0.1306	1.09
67	0.2276	0.1203	1.01
68	0.2331	0.1104	0.92
69	0.2188	0.1049	0.88
70	0.2351	0.1160	0.97
71	0.2299	0.1153	0.96
72	0.2305	0.1150	0.96
73	0.2358	0.1229	1.03
74	0.2403	0.1279	1.07
75	0.2459	0.1358	1.14
76	0.2349	0.1258	1.06
77	0.2335	0.1218	1.02
78	0.2328	0.1235	1.04
79	0.2210	0.1052	0.88
80	0.2297	0.1160	0.97
81	0.2275	0.1163	0.98
82	0.2194	0.1063	0.89
83	0.2173	0.1013	0.84
84	0.2185	0.1037	0.86
85	0.2215	0.1140	0.96
86	0.2365	0.1227	1.03
87	0.2349	0.1277	1.07
88	0.2346	0.1296	1.09
89	0.2487	0.1382	1.16
90	0.2420	0.1389	1.17
91	0.2416	0.1372	1.16
92	0.2306	0.1198	1.00
93	0.2187	0.1091	0.91
94	0.2218	0.1087	0.91
95	0.2242	0.1117	0.93
96	0.2127	0.1032	0.86
97	0.2121	0.0993	0.83
98	0.2120	0.1034	0.87
99	0.2148	0.1064	0.89
100	0.2145	0.1068	0.90
101	0.2114	0.1019	0.85
102	0.2220	0.1106	0.92
103	0.2235	0.1186	1.00
104	0.2340	0.1249	1.05
105	0.2518	0.1457	1.23
106	0.2436	0.1429	1.21
107	0.2334	0.1262	1.06
108	0.2327	0.1291	1.09
109	0.2198	0.1133	0.95
110	0.2162	0.1077	0.90
111	0.2092	0.1000	0.84
112	0.2208	0.1113	0.93
113	0.2210	0.1119	0.94
114	0.2167	0.1127	0.95
115	0.2162	0.1085	0.91
116	0.2053	0.0995	0.83
117	0.2066	0.0997	0.83
118	0.2133	0.1080	0.91
119	0.2205	0.1140	0.96
120	0.2170	0.1110	0.93
121	0.2215	0.1155	0.97
122	0.2135	0.1093	0.92
123	0.2198	0.1154	0.97
124	0.2274	0.1264	1.06
