#Epoch	RMSE	MAE	MAPE(%)
1	0.1576	0.1561	0.45
2	0.2249	0.2072	0.60
3	0.1385	0.1344	0.39
4	0.0217	0.0185	0.05
5	0.0423	0.0334	0.10
6	0.0483	0.0430	0.12
7	0.0363	0.0291	0.08
8	0.0251	0.0212	0.06
9	0.0456	0.0370	0.11
10	0.0748	0.0702	0.20
11	0.0756	0.0739	0.21
12	0.0782	0.0764	0.22
13	0.0484	0.0457	0.13
14	0.0506	0.0487	0.14
15	0.0265	0.0246	0.07
16	0.0430	0.0421	0.12
17	0.0122	0.0111	0.03
18	0.0218	0.0194	0.06
19	0.0368	0.0354	0.10
20	0.0089	0.0075	0.02
21	0.0342	0.0286	0.08
22	0.0424	0.0407	0.12
23	0.1075	0.1050	0.30
24	0.0360	0.0346	0.10
25	0.0747	0.0735	0.21
26	0.1107	0.1087	0.31
27	0.0324	0.0302	0.09
28	0.0200	0.0175	0.05
29	0.0602	0.0558	0.16
30	0.1121	0.1100	0.32
31	0.0772	0.0733	0.21
32	0.0392	0.0337	0.10
33	0.0768	0.0703	0.20
34	0.0285	0.0242	0.07
35	0.0370	0.0346	0.10
36	0.1229	0.1215	0.35
37	0.0770	0.0753	0.22
38	0.0567	0.0538	0.16
39	0.0685	0.0660	0.19
40	0.1105	0.1089	0.31
41	0.0578	0.0542	0.16
42	0.1471	0.1459	0.42
43	0.0296	0.0238	0.07
44	0.1159	0.1141	0.33
45	0.0330	0.0268	0.08
46	0.1209	0.1191	0.34
47	0.0269	0.0199	0.06
48	0.1555	0.1536	0.44
49	0.0351	0.0296	0.09
50	0.1655	0.1642	0.47
51	0.0564	0.0528	0.15
52	0.1640	0.1622	0.47
53	0.0222	0.0169	0.05
54	0.1039	0.1018	0.29
55	0.0564	0.0524	0.15
56	0.1660	0.1641	0.47
57	0.0180	0.0154	0.04
58	0.1157	0.1136	0.33
59	0.0295	0.0221	0.06
60	0.1502	0.1483	0.43
61	0.1118	0.1090	0.31
62	0.1060	0.1026	0.30
63	0.0669	0.0632	0.18
64	0.1718	0.1687	0.49
65	0.0222	0.0182	0.05
66	0.1655	0.1631	0.47
67	0.0481	0.0422	0.12
68	0.1028	0.1000	0.29
69	0.0587	0.0545	0.16
70	0.1288	0.1253	0.36
71	0.0361	0.0273	0.08
72	0.1592	0.1555	0.45
73	0.0462	0.0420	0.12
74	0.1636	0.1613	0.47
75	0.0458	0.0403	0.12
76	0.1502	0.1470	0.42
77	0.0335	0.0256	0.07
78	0.1466	0.1439	0.42
79	0.0285	0.0211	0.06
80	0.1422	0.1381	0.40
81	0.0286	0.0262	0.08
82	0.1757	0.1719	0.50
83	0.0242	0.0223	0.06
84	0.1574	0.1549	0.45
85	0.0627	0.0594	0.17
86	0.1151	0.1125	0.32
87	0.0546	0.0506	0.15
88	0.1302	0.1260	0.36
89	0.0309	0.0229	0.07
90	0.1384	0.1348	0.39
91	0.0411	0.0384	0.11
92	0.1338	0.1310	0.38
93	0.0317	0.0270	0.08
94	0.1575	0.1554	0.45
95	0.0368	0.0341	0.10
96	0.1348	0.1318	0.38
97	0.0484	0.0456	0.13
98	0.1184	0.1147	0.33
99	0.0275	0.0230	0.07
100	0.1365	0.1335	0.39
101	0.0287	0.0250	0.07
102	0.1217	0.1178	0.34
103	0.0339	0.0310	0.09
104	0.1355	0.1333	0.38
105	0.0512	0.0497	0.14
106	0.1081	0.1054	0.30
107	0.0415	0.0398	0.11
108	0.0998	0.0973	0.28
109	0.0517	0.0507	0.15
110	0.0850	0.0817	0.24
111	0.0605	0.0589	0.17
112	0.1277	0.1256	0.36
113	0.0648	0.0639	0.18
114	0.1109	0.1094	0.32
115	0.0723	0.0710	0.20
116	0.0824	0.0804	0.23
117	0.0747	0.0729	0.21
118	0.1121	0.1096	0.32
119	0.0429	0.0413	0.12
120	0.1397	0.1371	0.40
121	0.0381	0.0373	0.11
122	0.1387	0.1367	0.39
123	0.0490	0.0487	0.14
124	0.0963	0.0936	0.27
125	0.0949	0.0947	0.27
126	0.0758	0.0727	0.21
127	0.0662	0.0654	0.19
128	0.1018	0.0992	0.29
129	0.0680	0.0669	0.19
130	0.0742	0.0726	0.21
131	0.0662	0.0653	0.19
132	0.0787	0.0769	0.22
133	0.0829	0.0820	0.24
134	0.0832	0.0821	0.24
135	0.0982	0.0974	0.28
136	0.0839	0.0827	0.24
137	0.0811	0.0799	0.23
138	0.1125	0.1116	0.32
139	0.0643	0.0627	0.18
140	0.1151	0.1137	0.33
141	0.0636	0.0626	0.18
142	0.1214	0.1201	0.35
143	0.0211	0.0203	0.06
144	0.1096	0.1064	0.31
145	0.0989	0.0988	0.29
146	0.0230	0.0212	0.06
147	0.0694	0.0693	0.20
148	0.0197	0.0158	0.05
149	0.0997	0.0996	0.29
150	0.0115	0.0071	0.02
151	0.0954	0.0954	0.28
152	0.0230	0.0211	0.06
153	0.0733	0.0732	0.21
154	0.0525	0.0520	0.15
155	0.0728	0.0727	0.21
156	0.0456	0.0437	0.13
157	0.0990	0.0989	0.29
158	0.0531	0.0518	0.15
159	0.0772	0.0770	0.22
160	0.0705	0.0702	0.20
161	0.0864	0.0863	0.25
162	0.0603	0.0595	0.17
163	0.0792	0.0791	0.23
164	0.0593	0.0583	0.17
165	0.0883	0.0883	0.25
166	0.0118	0.0108	0.03
167	0.1058	0.1056	0.30
168	0.0132	0.0110	0.03
169	0.0961	0.0961	0.28
170	0.0052	0.0051	0.01
171	0.0778	0.0778	0.22
172	0.0189	0.0178	0.05
173	0.0913	0.0913	0.26
174	0.0420	0.0401	0.12
175	0.0744	0.0743	0.21
176	0.0237	0.0232	0.07
177	0.0895	0.0895	0.26
178	0.0658	0.0656	0.19
179	0.0678	0.0678	0.20
180	0.0461	0.0460	0.13
181	0.0575	0.0574	0.17
182	0.0645	0.0645	0.19
183	0.0707	0.0704	0.20
184	0.0672	0.0671	0.19
185	0.0759	0.0756	0.22
186	0.0671	0.0670	0.19
187	0.0825	0.0820	0.24
188	0.0766	0.0766	0.22
189	0.0795	0.0794	0.23
190	0.0644	0.0643	0.19
191	0.0922	0.0918	0.26
192	0.0745	0.0744	0.21
193	0.0839	0.0838	0.24
194	0.0979	0.0979	0.28
195	0.0617	0.0607	0.18
196	0.0815	0.0815	0.24
197	0.0405	0.0398	0.11
198	0.1014	0.1013	0.29
199	0.0623	0.0623	0.18
200	0.0653	0.0652	0.19
