#Epoch	RMSE	MAE	MAPE(%)
1	0.5545	0.4649	3.09
2	0.4234	0.3127	2.07
3	0.3837	0.2716	1.79
4	0.3566	0.2489	1.64
5	0.3015	0.1906	1.25
6	0.2705	0.1699	1.12
7	0.2222	0.1233	0.81
8	0.1770	0.0895	0.58
9	0.1860	0.0937	0.61
10	0.1854	0.0965	0.63
11	0.1879	0.1055	0.69
12	0.1570	0.0748	0.49
13	0.1554	0.0736	0.48
14	0.1520	0.0742	0.48
15	0.1704	0.0873	0.57
16	0.1526	0.0728	0.47
17	0.1511	0.0717	0.47
18	0.1570	0.0753	0.49
19	0.1471	0.0698	0.46
20	0.1463	0.0691	0.45
21	0.1421	0.0678	0.44
22	0.1435	0.0676	0.44
23	0.1345	0.0715	0.47
24	0.1382	0.0710	0.47
25	0.1364	0.0717	0.47
26	0.1377	0.0717	0.47
27	0.1336	0.0696	0.46
28	0.1391	0.0655	0.43
29	0.1310	0.0634	0.42
30	0.1327	0.0650	0.43
31	0.1286	0.0624	0.41
32	0.1278	0.0765	0.51
33	0.1284	0.0669	0.44
34	0.1259	0.0627	0.41
35	0.1317	0.0637	0.42
36	0.1253	0.0686	0.45
37	0.1261	0.0600	0.39
38	0.1247	0.0599	0.39
39	0.1257	0.0769	0.51
40	0.1226	0.0637	0.42
41	0.1230	0.0613	0.40
42	0.1255	0.0810	0.54
43	0.1209	0.0651	0.43
44	0.1254	0.0600	0.39
45	0.1216	0.0684	0.45
46	0.1212	0.0625	0.41
47	0.1215	0.0583	0.38
48	0.1209	0.0719	0.48
49	0.1236	0.0665	0.44
50	0.1183	0.0618	0.41
51	0.1207	0.0596	0.39
52	0.1197	0.0588	0.39
53	0.1203	0.0692	0.46
54	0.1188	0.0663	0.44
55	0.1197	0.0675	0.45
56	0.1197	0.0624	0.41
57	0.1184	0.0674	0.45
58	0.1189	0.0670	0.44
59	0.1175	0.0590	0.39
60	0.1162	0.0588	0.39
61	0.1176	0.0643	0.42
62	0.1166	0.0658	0.44
63	0.1181	0.0564	0.37
64	0.1140	0.0571	0.38
65	0.1159	0.0563	0.37
66	0.1126	0.0534	0.35
67	0.1191	0.0586	0.39
68	0.1186	0.0800	0.53
69	0.1172	0.0633	0.42
70	0.1135	0.0572	0.38
71	0.1112	0.0575	0.38
72	0.1143	0.0596	0.39
73	0.1151	0.0560	0.37
74	0.1155	0.0590	0.39
75	0.1142	0.0587	0.39
76	0.1168	0.0556	0.36
77	0.1152	0.0672	0.45
78	0.1141	0.0542	0.36
79	0.1166	0.0586	0.39
80	0.1135	0.0600	0.40
81	0.1151	0.0565	0.37
82	0.1143	0.0592	0.39
83	0.1139	0.0581	0.38
84	0.1145	0.0564	0.37
85	0.1165	0.0605	0.40
86	0.1139	0.0538	0.35
87	0.1158	0.0562	0.37
88	0.1144	0.0532	0.35
89	0.1150	0.0621	0.41
90	0.1128	0.0561	0.37
91	0.1180	0.0573	0.38
92	0.1133	0.0514	0.34
93	0.1183	0.0560	0.37
94	0.1137	0.0610	0.40
95	0.1189	0.0541	0.35
96	0.1174	0.0556	0.36
97	0.1132	0.0551	0.36
98	0.1201	0.0539	0.35
99	0.1202	0.0527	0.34
100	0.1125	0.0534	0.35
101	0.1165	0.0560	0.37
102	0.1146	0.0577	0.38
103	0.1155	0.0539	0.35
104	0.1181	0.0525	0.34
105	0.1178	0.0519	0.34
106	0.1172	0.0519	0.34
107	0.1138	0.0510	0.33
108	0.1161	0.0507	0.33
109	0.1146	0.0543	0.36
110	0.1148	0.0510	0.33
111	0.1194	0.0527	0.34
112	0.1124	0.0525	0.34
113	0.1177	0.0517	0.34
114	0.1114	0.0567	0.37
115	0.1137	0.0558	0.37
116	0.1137	0.0515	0.34
117	0.1209	0.0534	0.35
118	0.1134	0.0551	0.36
119	0.1132	0.0510	0.33
120	0.1191	0.0519	0.34
121	0.1210	0.0528	0.34
122	0.1137	0.0518	0.34
123	0.1220	0.0535	0.35
124	0.1223	0.0544	0.36
125	0.1215	0.0533	0.35
126	0.1138	0.0490	0.32
127	0.1257	0.0569	0.37
128	0.1173	0.0519	0.34
129	0.1198	0.0530	0.35
130	0.1184	0.0511	0.33
131	0.1146	0.0500	0.33
132	0.1253	0.0554	0.36
133	0.1187	0.0534	0.35
134	0.1202	0.0539	0.35
135	0.1238	0.0549	0.36
136	0.1248	0.0583	0.38
137	0.1223	0.0534	0.35
138	0.1203	0.0529	0.35
139	0.1297	0.0610	0.40
140	0.1169	0.0510	0.33
141	0.1233	0.0547	0.36
142	0.1205	0.0528	0.34
143	0.1200	0.0523	0.34
144	0.1256	0.0573	0.37
145	0.1268	0.0566	0.37
146	0.1184	0.0509	0.33
147	0.1251	0.0571	0.37
148	0.1246	0.0576	0.38
149	0.1272	0.0607	0.40
150	0.1287	0.0619	0.41
151	0.1198	0.0530	0.35
152	0.1254	0.0564	0.37
153	0.1181	0.0512	0.33
154	0.1278	0.0581	0.38
155	0.1215	0.0558	0.37
156	0.1338	0.0624	0.41
157	0.1261	0.0579	0.38
158	0.1307	0.0619	0.40
159	0.1216	0.0548	0.36
160	0.1229	0.0545	0.36
161	0.1291	0.0602	0.39
162	0.1284	0.0596	0.39
163	0.1209	0.0556	0.36
164	0.1374	0.0661	0.43
165	0.1218	0.0579	0.38
166	0.1370	0.0685	0.45
167	0.1276	0.0620	0.41
168	0.1341	0.0630	0.41
169	0.1121	0.0500	0.33
170	0.1356	0.0650	0.43
171	0.1237	0.0581	0.38
172	0.1287	0.0582	0.38
173	0.1300	0.0632	0.41
174	0.1295	0.0651	0.43
175	0.1444	0.0784	0.51
176	0.1277	0.0574	0.37
177	0.1276	0.0615	0.40
178	0.1339	0.0717	0.47
179	0.1231	0.0561	0.37
180	0.1314	0.0612	0.40
181	0.1199	0.0554	0.36
182	0.1410	0.0730	0.48
183	0.1123	0.0485	0.32
184	0.1438	0.0747	0.49
185	0.1249	0.0602	0.40
186	0.1298	0.0628	0.41
187	0.1203	0.0549	0.36
188	0.1215	0.0535	0.35
189	0.1274	0.0612	0.40
190	0.1267	0.0597	0.39
191	0.1289	0.0616	0.40
192	0.1226	0.0581	0.38
193	0.1346	0.0681	0.45
194	0.1287	0.0592	0.39
195	0.1301	0.0648	0.42
196	0.1435	0.0811	0.53
197	0.1421	0.0715	0.47
198	0.1267	0.0602	0.39
199	0.1451	0.0799	0.53
200	0.1298	0.0598	0.39
