#Epoch	RMSE	MAE	MAPE(%)
1	0.3628	0.3216	2.78
2	0.3201	0.2419	2.07
3	0.3137	0.2525	2.17
4	0.2982	0.2276	1.95
5	0.2849	0.1870	1.59
6	0.2864	0.1782	1.51
7	0.3443	0.2058	1.73
8	0.3354	0.1900	1.59
9	0.2843	0.1708	1.44
10	0.2934	0.2210	1.89
11	0.2942	0.2296	1.97
12	0.2698	0.1512	1.27
13	0.3277	0.2873	2.48
14	0.2764	0.2004	1.71
15	0.2856	0.2208	1.89
16	0.3220	0.2819	2.43
17	0.2590	0.1694	1.44
18	0.2548	0.1624	1.38
19	0.2633	0.1708	1.45
20	0.2995	0.2482	2.13
21	0.2621	0.1895	1.62
22	0.2526	0.1535	1.30
23	0.2377	0.1653	1.41
24	0.2622	0.2035	1.74
25	0.2343	0.1456	1.23
26	0.2321	0.1645	1.40
27	0.2309	0.1823	1.57
28	0.2528	0.2107	1.81
29	0.2583	0.2290	1.98
30	0.2260	0.1810	1.56
31	0.2146	0.1749	1.51
32	0.2145	0.1796	1.55
33	0.2085	0.1629	1.40
34	0.1861	0.1559	1.35
35	0.1724	0.1473	1.27
36	0.1474	0.1238	1.07
37	0.1639	0.1303	1.12
38	0.1774	0.1536	1.34
39	0.1969	0.1643	1.42
40	0.1845	0.1610	1.40
41	0.1801	0.1431	1.23
42	0.1814	0.1612	1.40
43	0.1757	0.1522	1.32
44	0.1963	0.1669	1.45
45	0.2085	0.1570	1.34
46	0.1953	0.1701	1.48
47	0.1786	0.1482	1.28
48	0.1660	0.1206	1.04
49	0.2049	0.1453	1.24
50	0.2013	0.1752	1.52
51	0.1677	0.1207	1.03
52	0.1631	0.1396	1.21
53	0.1771	0.1474	1.27
54	0.1593	0.1260	1.09
55	0.1677	0.1161	0.99
56	0.1688	0.1180	1.01
57	0.1846	0.1480	1.27
58	0.1646	0.1301	1.12
59	0.1509	0.1002	0.86
60	0.1622	0.1217	1.05
61	0.1654	0.1256	1.08
62	0.1489	0.1160	1.00
63	0.1386	0.1060	0.91
64	0.1372	0.1038	0.90
65	0.1354	0.1054	0.91
66	0.1313	0.0994	0.86
67	0.1392	0.1132	0.98
68	0.1327	0.1033	0.89
69	0.1319	0.0972	0.84
70	0.1342	0.1084	0.94
71	0.1244	0.0908	0.78
72	0.1266	0.1008	0.87
73	0.1439	0.1170	1.01
74	0.1262	0.1004	0.87
75	0.1381	0.1129	0.98
76	0.1290	0.1047	0.91
77	0.1716	0.1488	1.29
78	0.1396	0.1134	0.98
79	0.1306	0.1011	0.87
80	0.1289	0.1076	0.93
81	0.1280	0.0996	0.86
82	0.1239	0.0956	0.83
83	0.1308	0.0953	0.82
84	0.1282	0.1026	0.89
85	0.1319	0.0943	0.81
86	0.1434	0.1218	1.06
87	0.1299	0.0990	0.86
88	0.1382	0.1139	0.99
89	0.1560	0.1261	1.09
90	0.1461	0.1172	1.01
91	0.1309	0.0981	0.85
92	0.1343	0.1065	0.92
93	0.1352	0.1025	0.89
94	0.1305	0.1016	0.88
95	0.1374	0.1015	0.87
96	0.1234	0.1002	0.87
97	0.1410	0.1045	0.90
98	0.1392	0.1126	0.98
99	0.1213	0.0856	0.74
100	0.1547	0.1333	1.16
101	0.1247	0.0944	0.81
102	0.1302	0.1096	0.95
103	0.1464	0.1174	1.01
104	0.1356	0.1160	1.01
105	0.2449	0.2129	1.85
106	0.1686	0.1214	1.04
107	0.1779	0.1324	1.13
108	0.1950	0.1368	1.17
109	0.1650	0.1392	1.20
110	0.1388	0.1099	0.95
111	0.1528	0.1326	1.15
112	0.1557	0.1276	1.11
113	0.1292	0.0913	0.78
114	0.1361	0.1055	0.91
115	0.1325	0.1023	0.89
116	0.1275	0.0899	0.77
117	0.1382	0.1109	0.96
118	0.1271	0.0957	0.83
119	0.1229	0.0943	0.82
120	0.1391	0.1041	0.90
121	0.1318	0.1090	0.94
122	0.1474	0.1114	0.96
123	0.1527	0.1270	1.10
124	0.1597	0.1151	0.99
125	0.1698	0.1450	1.26
126	0.1368	0.1077	0.93
127	0.1408	0.1155	1.00
128	0.1260	0.0924	0.80
129	0.1233	0.0929	0.80
130	0.1300	0.0981	0.85
131	0.1286	0.1010	0.88
132	0.1561	0.1313	1.14
133	0.1354	0.1047	0.91
134	0.1554	0.1282	1.11
135	0.1358	0.1100	0.95
136	0.1386	0.1105	0.96
137	0.1440	0.1172	1.02
138	0.1332	0.1038	0.90
139	0.1273	0.1016	0.88
140	0.1267	0.0959	0.83
141	0.1312	0.1070	0.93
142	0.1231	0.0903	0.78
143	0.1443	0.1184	1.03
144	0.1299	0.1003	0.87
145	0.1210	0.0975	0.85
146	0.1310	0.1001	0.87
147	0.1367	0.1141	0.99
148	0.1309	0.0995	0.86
149	0.1625	0.1383	1.20
150	0.1410	0.1173	1.02
151	0.1189	0.0917	0.80
152	0.1274	0.1014	0.88
153	0.1229	0.0959	0.83
154	0.1252	0.1009	0.88
155	0.1212	0.0954	0.83
156	0.1199	0.0910	0.79
157	0.1340	0.1081	0.94
158	0.1413	0.1212	1.05
159	0.1312	0.1051	0.91
160	0.1422	0.1160	1.01
161	0.1336	0.1054	0.91
162	0.1316	0.1061	0.92
163	0.1292	0.1034	0.90
164	0.1379	0.1084	0.94
165	0.1368	0.1147	0.99
166	0.1854	0.1671	1.46
167	0.1312	0.1029	0.89
168	0.1349	0.1066	0.92
169	0.1567	0.1319	1.14
170	0.1407	0.1166	1.01
171	0.1430	0.1142	0.99
172	0.1363	0.1126	0.97
173	0.1704	0.1432	1.24
174	0.1231	0.0945	0.82
