#Epoch	RMSE	MAE	MAPE(%)
1	0.8505	0.7401	4.45
2	0.8688	0.7890	4.74
3	0.9203	0.8443	5.06
4	0.9602	0.8789	5.27
5	0.9648	0.8855	5.31
6	0.8943	0.8117	4.87
7	0.8759	0.7975	4.79
8	0.8460	0.7724	4.64
9	0.8096	0.7413	4.45
10	0.7569	0.6885	4.14
11	0.7218	0.6519	3.92
12	0.7391	0.6705	4.03
13	0.7523	0.6822	4.10
14	0.7960	0.7323	4.40
15	0.7913	0.7299	4.38
16	0.7562	0.6925	4.16
17	0.7409	0.6741	4.05
18	0.7380	0.6683	4.02
19	0.7343	0.6607	3.97
20	0.7417	0.6669	4.01
21	0.7416	0.6665	4.01
22	0.7425	0.6714	4.03
23	0.7041	0.6319	3.80
24	0.7023	0.6389	3.84
25	0.6861	0.6207	3.73
26	0.6884	0.6253	3.76
27	0.7160	0.6516	3.92
28	0.7164	0.6497	3.90
29	0.7217	0.6568	3.95
30	0.7055	0.6417	3.86
31	0.7052	0.6438	3.87
32	0.6939	0.6317	3.80
33	0.6788	0.6177	3.71
34	0.6863	0.6285	3.77
35	0.6491	0.5839	3.51
36	0.6864	0.6261	3.76
37	0.6753	0.6170	3.71
38	0.6499	0.5880	3.53
39	0.6595	0.5972	3.59
40	0.6706	0.6132	3.68
41	0.6603	0.6040	3.63
42	0.6265	0.5665	3.41
43	0.6412	0.5807	3.49
44	0.6588	0.5984	3.60
45	0.6427	0.5814	3.49
46	0.6473	0.5862	3.52
47	0.6620	0.6025	3.62
48	0.6544	0.5940	3.57
49	0.6672	0.6062	3.64
50	0.6783	0.6198	3.72
51	0.6480	0.5894	3.54
52	0.6396	0.5798	3.48
53	0.6498	0.5877	3.53
54	0.6713	0.6112	3.67
55	0.6533	0.5940	3.57
56	0.6538	0.5939	3.57
57	0.6440	0.5838	3.51
58	0.6489	0.5894	3.54
59	0.6512	0.5916	3.56
60	0.6702	0.6119	3.68
61	0.6580	0.5950	3.58
62	0.6925	0.6328	3.80
63	0.6787	0.6159	3.70
64	0.6885	0.6269	3.77
65	0.6923	0.6326	3.80
66	0.6710	0.6111	3.67
67	0.6581	0.5950	3.58
68	0.6774	0.6156	3.70
69	0.6733	0.6109	3.67
70	0.6759	0.6161	3.70
71	0.6637	0.6040	3.63
72	0.6625	0.6034	3.63
73	0.6738	0.6147	3.69
74	0.6820	0.6238	3.75
75	0.6754	0.6184	3.71
76	0.6754	0.6181	3.71
77	0.6570	0.5981	3.59
78	0.6588	0.6013	3.61
79	0.6543	0.5984	3.59
80	0.6402	0.5837	3.51
81	0.6435	0.5857	3.52
82	0.6587	0.5997	3.60
83	0.6753	0.6160	3.70
84	0.6836	0.6240	3.75
85	0.6741	0.6139	3.69
86	0.6759	0.6175	3.71
87	0.6649	0.6035	3.63
88	0.6567	0.5964	3.58
89	0.6656	0.6064	3.64
90	0.6721	0.6141	3.69
91	0.6661	0.6095	3.66
92	0.6660	0.6104	3.67
93	0.6570	0.5996	3.60
94	0.6730	0.6168	3.70
95	0.6666	0.6120	3.68
96	0.6538	0.5984	3.59
97	0.6571	0.6014	3.61
98	0.6648	0.6086	3.66
99	0.6628	0.6081	3.65
100	0.6438	0.5880	3.53
101	0.6350	0.5777	3.47
102	0.6515	0.5958	3.58
103	0.6374	0.5807	3.49
104	0.6328	0.5748	3.45
105	0.6455	0.5890	3.54
106	0.6533	0.5946	3.57
107	0.6739	0.6153	3.70
108	0.6824	0.6229	3.74
109	0.6838	0.6261	3.76
110	0.6753	0.6184	3.72
111	0.6595	0.5987	3.60
112	0.6809	0.6202	3.73
113	0.7128	0.6502	3.91
114	0.7212	0.6593	3.96
115	0.6984	0.6362	3.82
116	0.6996	0.6394	3.84
117	0.7013	0.6445	3.87
118	0.7010	0.6435	3.86
119	0.6801	0.6251	3.75
120	0.6678	0.6133	3.68
121	0.6521	0.5977	3.59
122	0.6424	0.5883	3.53
123	0.6336	0.5790	3.48
124	0.6653	0.6126	3.68
125	0.6486	0.5960	3.58
126	0.6184	0.5641	3.39
127	0.6381	0.5826	3.50
128	0.6524	0.5966	3.58
129	0.6476	0.5920	3.56
130	0.6356	0.5793	3.48
131	0.6481	0.5958	3.58
132	0.6182	0.5639	3.39
133	0.6209	0.5669	3.41
134	0.6658	0.6101	3.67
135	0.6623	0.6072	3.65
136	0.6570	0.6022	3.62
137	0.6531	0.5988	3.60
138	0.6356	0.5785	3.48
139	0.6730	0.6183	3.71
140	0.6426	0.5885	3.54
141	0.6470	0.5924	3.56
142	0.6316	0.5746	3.45
143	0.6429	0.5864	3.52
144	0.6404	0.5862	3.52
145	0.6516	0.5937	3.57
146	0.6584	0.6029	3.62
147	0.6483	0.5916	3.55
148	0.6744	0.6148	3.69
149	0.6878	0.6293	3.78
150	0.6712	0.6141	3.69
151	0.7035	0.6439	3.87
