#Epoch	RMSE	MAE	MAPE(%)
1	1.7101	1.2981	13.87
2	1.1877	0.7368	7.69
3	1.3341	0.8631	8.94
4	1.4617	1.0176	10.67
5	1.6373	1.2487	13.32
6	1.5443	1.1408	12.07
7	1.6499	1.2751	13.64
8	1.6617	1.2851	13.75
9	1.6141	1.2350	13.18
10	1.4643	1.0633	11.22
11	1.3213	0.8801	9.13
12	1.3535	0.9221	9.61
13	1.6621	1.2915	13.81
14	1.6667	1.2953	13.87
15	1.5914	1.1928	12.67
16	1.6352	1.2725	13.62
17	1.6353	1.2659	13.54
18	1.6669	1.3092	14.04
19	1.6025	1.2282	13.10
20	1.6473	1.2800	13.70
21	1.5702	1.1875	12.64
22	1.7714	1.4338	15.48
23	1.6834	1.3262	14.23
24	1.6865	1.3328	14.31
25	1.5853	1.2045	12.82
26	1.5969	1.2200	13.01
27	1.6803	1.3233	14.19
28	1.6667	1.3049	13.98
29	1.5913	1.2095	12.88
30	1.6321	1.2621	13.49
31	1.6169	1.2461	13.30
32	1.5927	1.2158	12.95
33	1.5908	1.2138	12.93
34	1.5951	1.2231	13.05
35	1.5055	1.1058	11.69
36	1.5420	1.1542	12.25
37	1.6517	1.2875	13.78
38	1.6395	1.2654	13.51
39	1.6677	1.3016	13.93
40	1.8404	1.5121	16.37
41	1.6132	1.2387	13.21
42	1.5948	1.2103	12.88
43	1.6104	1.2318	13.13
44	1.6458	1.2823	13.72
45	1.5239	1.1253	11.91
46	1.5257	1.1307	11.97
47	1.5924	1.2068	12.84
48	1.7025	1.3454	14.44
49	1.4874	1.0776	11.36
50	1.6730	1.3095	14.03
51	1.6690	1.3043	13.96
52	1.5610	1.1658	12.36
53	1.6031	1.2177	12.96
54	1.7791	1.4304	15.41
55	1.7133	1.3571	14.57
56	1.7217	1.3592	14.58
57	1.6763	1.3074	13.99
58	1.8136	1.5013	16.27
59	1.9235	1.6180	17.60
60	1.7897	1.4536	15.69
61	1.9602	1.6602	18.09
62	1.8701	1.5562	16.89
63	1.6542	1.2894	13.83
64	1.7843	1.4571	15.76
65	1.6310	1.2322	13.13
66	1.8516	1.5285	16.56
67	1.8960	1.5803	17.15
68	1.8630	1.5429	16.73
69	1.7726	1.4353	15.48
70	1.7635	1.4227	15.33
71	1.7345	1.3810	14.84
72	1.7091	1.3568	14.58
73	1.6759	1.3071	13.99
74	1.6291	1.2549	13.40
75	1.6903	1.3282	14.24
76	1.7296	1.3729	14.75
77	1.4787	1.0556	11.09
78	1.6664	1.3008	13.92
79	1.7533	1.3941	14.98
80	1.5916	1.1969	12.71
81	1.7846	1.4220	15.28
82	1.6380	1.2489	13.30
83	1.8687	1.5242	16.46
84	1.4414	1.0175	10.66
85	1.6725	1.3143	14.09
86	1.7968	1.4638	15.81
87	1.5920	1.2027	12.78
88	1.6559	1.2856	13.74
89	1.5516	1.1497	12.17
90	1.7056	1.3448	14.42
91	1.6151	1.2302	13.10
92	1.5575	1.1516	12.18
93	1.4356	0.9862	10.27
94	1.6686	1.2889	13.76
95	1.7456	1.3912	14.95
96	1.3810	0.9231	9.56
97	1.3921	0.9372	9.72
98	1.6763	1.3096	14.02
99	1.6118	1.2325	13.13
100	1.4823	1.0570	11.10
101	1.5185	1.1020	11.62
102	1.4415	0.9922	10.34
103	1.6194	1.2267	13.04
104	1.7692	1.4131	15.20
105	1.5064	1.1144	11.80
106	1.4073	0.9768	10.20
107	1.4039	0.9644	10.05
108	1.4506	1.0423	10.97
109	1.7263	1.3702	14.72
110	1.5766	1.1568	12.22
111	1.4982	1.1314	12.03
112	1.7297	1.3784	14.82
113	1.7027	1.3396	14.36
114	1.9304	1.6291	17.74
115	1.8752	1.5388	16.65
116	1.9360	1.6253	17.68
117	1.7673	1.3987	15.02
118	1.1636	0.6854	6.93
119	1.6531	1.2523	13.33
120	1.7160	1.3405	14.37
121	1.9929	1.6988	18.54
122	1.8384	1.5225	16.51
123	1.8684	1.5434	16.72
124	1.7746	1.4252	15.35
125	1.8205	1.4668	15.80
126	1.6456	1.2513	13.32
127	1.6637	1.2685	13.51
128	1.7606	1.3754	14.72
129	1.5768	1.1848	12.58
130	1.5734	1.1754	12.46
131	1.7514	1.3928	14.96
132	1.6485	1.2564	13.38
133	1.6644	1.2833	13.70
