#Epoch	RMSE	MAE	MAPE(%)
1	0.2245	0.1746	1.93
2	0.2174	0.1664	1.83
3	0.2112	0.1601	1.76
4	0.2045	0.1551	1.71
5	0.1991	0.1510	1.67
6	0.1942	0.1482	1.64
7	0.1894	0.1435	1.59
8	0.1863	0.1426	1.58
9	0.1828	0.1422	1.58
10	0.1778	0.1388	1.54
11	0.1762	0.1403	1.56
12	0.1742	0.1404	1.56
13	0.1722	0.1410	1.57
14	0.1680	0.1383	1.54
15	0.1644	0.1353	1.51
16	0.1608	0.1328	1.48
17	0.1616	0.1355	1.51
18	0.1548	0.1270	1.41
19	0.1558	0.1300	1.45
20	0.1539	0.1291	1.44
21	0.1543	0.1311	1.46
22	0.1473	0.1226	1.37
23	0.1467	0.1230	1.37
24	0.1448	0.1216	1.36
25	0.1403	0.1172	1.31
26	0.1358	0.1136	1.27
27	0.1285	0.1043	1.16
28	0.1251	0.1027	1.14
29	0.1198	0.0969	1.08
30	0.1172	0.0951	1.06
31	0.1137	0.0895	0.99
32	0.1100	0.0848	0.94
33	0.1046	0.0775	0.86
34	0.1005	0.0742	0.82
35	0.0977	0.0684	0.75
36	0.0941	0.0602	0.66
37	0.0901	0.0592	0.65
38	0.0917	0.0602	0.66
39	0.0900	0.0547	0.60
40	0.0924	0.0532	0.58
41	0.0886	0.0510	0.56
42	0.0901	0.0517	0.57
43	0.0852	0.0509	0.56
44	0.0854	0.0499	0.55
45	0.0855	0.0503	0.55
46	0.0887	0.0514	0.56
47	0.0837	0.0534	0.59
48	0.0838	0.0529	0.58
49	0.0839	0.0489	0.54
50	0.0819	0.0492	0.54
51	0.0847	0.0488	0.54
52	0.0858	0.0490	0.54
53	0.0814	0.0489	0.54
54	0.0814	0.0509	0.56
55	0.0824	0.0573	0.63
56	0.0845	0.0632	0.70
57	0.0836	0.0605	0.67
58	0.0928	0.0765	0.85
59	0.0930	0.0773	0.86
60	0.0983	0.0845	0.94
61	0.0960	0.0808	0.90
62	0.0913	0.0740	0.82
63	0.0906	0.0735	0.82
64	0.0862	0.0663	0.74
65	0.0876	0.0692	0.77
66	0.0948	0.0802	0.89
67	0.0926	0.0770	0.86
68	0.0919	0.0760	0.84
69	0.0915	0.0757	0.84
70	0.1015	0.0893	1.00
71	0.0980	0.0842	0.94
72	0.0950	0.0795	0.89
73	0.0934	0.0780	0.87
74	0.0858	0.0665	0.74
75	0.0854	0.0659	0.73
76	0.0837	0.0630	0.70
77	0.0859	0.0672	0.74
78	0.0810	0.0581	0.64
79	0.0802	0.0566	0.63
80	0.0808	0.0585	0.65
81	0.0837	0.0640	0.71
82	0.0831	0.0630	0.70
83	0.0819	0.0607	0.67
84	0.0852	0.0666	0.74
85	0.0834	0.0633	0.70
86	0.0878	0.0701	0.78
87	0.0973	0.0845	0.94
88	0.0859	0.0677	0.75
89	0.0835	0.0639	0.71
90	0.0869	0.0693	0.77
91	0.0929	0.0782	0.87
92	0.0889	0.0722	0.80
93	0.0890	0.0724	0.80
94	0.0936	0.0793	0.88
95	0.0877	0.0705	0.78
96	0.0899	0.0739	0.82
97	0.0865	0.0687	0.76
98	0.0926	0.0774	0.86
99	0.0985	0.0855	0.95
100	0.0949	0.0808	0.90
101	0.0934	0.0788	0.88
102	0.0864	0.0682	0.76
103	0.0824	0.0620	0.69
104	0.0853	0.0669	0.74
105	0.0843	0.0651	0.72
106	0.0817	0.0606	0.67
107	0.0823	0.0618	0.68
108	0.0902	0.0740	0.82
109	0.0916	0.0761	0.85
110	0.0930	0.0783	0.87
111	0.0838	0.0645	0.72
112	0.0906	0.0750	0.83
113	0.0944	0.0803	0.89
114	0.0864	0.0686	0.76
115	0.0883	0.0718	0.80
116	0.0863	0.0687	0.76
117	0.0894	0.0733	0.81
118	0.0906	0.0751	0.84
119	0.0861	0.0684	0.76
120	0.0894	0.0729	0.81
121	0.0929	0.0782	0.87
122	0.0899	0.0742	0.82
123	0.0899	0.0738	0.82
124	0.0888	0.0723	0.80
125	0.0819	0.0615	0.68
126	0.0824	0.0628	0.70
127	0.0809	0.0599	0.66
128	0.0836	0.0644	0.71
129	0.0935	0.0794	0.88
130	0.0900	0.0741	0.82
131	0.0918	0.0768	0.85
132	0.0819	0.0616	0.68
133	0.0927	0.0782	0.87
134	0.0863	0.0688	0.76
135	0.0830	0.0638	0.71
136	0.0889	0.0728	0.81
137	0.0927	0.0780	0.87
138	0.0850	0.0668	0.74
139	0.0913	0.0761	0.85
140	0.0921	0.0771	0.86
141	0.0964	0.0833	0.93
142	0.0882	0.0716	0.80
143	0.0850	0.0670	0.74
144	0.0804	0.0591	0.65
145	0.0783	0.0545	0.60
146	0.0789	0.0562	0.62
147	0.0773	0.0492	0.54
148	0.0791	0.0559	0.62
149	0.0812	0.0605	0.67
150	0.0854	0.0675	0.75
151	0.0855	0.0677	0.75
152	0.0827	0.0634	0.70
153	0.0861	0.0688	0.76
154	0.0940	0.0801	0.89
155	0.0952	0.0816	0.91
156	0.0956	0.0823	0.92
157	0.0919	0.0770	0.86
158	0.0959	0.0826	0.92
159	0.0954	0.0818	0.91
160	0.0875	0.0711	0.79
161	0.0845	0.0666	0.74
162	0.0935	0.0795	0.88
163	0.0933	0.0791	0.88
164	0.0918	0.0771	0.86
165	0.0881	0.0718	0.80
166	0.0834	0.0648	0.72
167	0.0857	0.0681	0.76
168	0.0922	0.0775	0.86
169	0.0881	0.0719	0.80
170	0.0831	0.0641	0.71
171	0.0789	0.0555	0.61
172	0.0887	0.0729	0.81
173	0.0860	0.0686	0.76
174	0.0879	0.0717	0.80
175	0.0789	0.0555	0.61
176	0.0861	0.0688	0.76
177	0.0884	0.0725	0.81
178	0.0898	0.0745	0.83
179	0.0821	0.0622	0.69
180	0.0853	0.0681	0.76
181	0.0836	0.0651	0.72
182	0.0795	0.0573	0.63
183	0.0871	0.0706	0.78
184	0.0907	0.0757	0.84
185	0.0902	0.0752	0.84
186	0.0860	0.0691	0.77
187	0.0812	0.0610	0.68
188	0.0948	0.0814	0.91
189	0.0958	0.0823	0.92
190	0.0907	0.0758	0.84
191	0.0796	0.0576	0.64
192	0.0825	0.0635	0.70
193	0.0797	0.0578	0.64
194	0.0773	0.0518	0.57
195	0.0767	0.0496	0.55
196	0.0781	0.0530	0.59
197	0.0875	0.0710	0.79
198	0.0824	0.0625	0.69
199	0.0869	0.0700	0.78
200	0.0893	0.0739	0.82
